id,author,title,gender,isbn,release_date,origin,description
18,Michael Crummey,Sweetland,M,9780385663175,1960,Canadian,"“For twelve generations, when the fish were plentiful and when they all-but disappeared, the inhabitants of this remote island in Newfoundland have lived and died together. Now, in the second decade of the 21st century, they are facing resettlement, and each has been offered a generous compensation package to leave. But the money is offered with a proviso: everyone has to go; the government won’t be responsible for one crazy coot who chooses to stay alone on an island.”"
19,Mona Awad,13 Ways of Looking at a Fat Girl,F,9780143194798,2015,Canadian,"“Growing up in the suburban hell of Misery Saga (a.k.a. Mississauga), Lizzie has never liked the way she looks—even though her best friend Mel says she’s the pretty one. She starts dating guys online, but she’s afraid to send pictures, even when her skinny friend China does her makeup: she knows no one would want her if they could really see her. So she starts to lose. With punishing drive, she counts almonds consumed, miles logged, pounds dropped. She fights her way into coveted dresses. She grows up and gets thin, navigating double-edged validation from her mother, her friends, her husband, her reflection in the mirror. But no matter how much she loses, will she ever see herself as anything other than a fat girl? “"
20,Michael Ondaatje,The English Patient,M,9780394280134,1992,Canadian,"“Hana, the exhausted nurse; the maimed thief, Caravaggio; the wary sapper, Kip: each is haunted by the riddle of the English patient, the nameless, burned man who lies in an upstairs room and whose memories of passion, betrayal, and rescue illuminate this book like flashes of heat lightning.”"
21,Elizabeth Hay,Late Nights on Air,F,9780771038129,2007,Canadian,"“Harry Boyd, a hard-bitten refugee from failure in Toronto television, has returned to a small radio station in the Canadian North. There, in Yellowknife, in the summer of 1975, he falls in love with a voice on air, though the real woman, Dido Paris, is both a surprise and even more than he imagined.”"
23,Anne Michaels,Fugitive Pieces,F,9780771058820,1997,Canadian,"“In 1940 a boy bursts from the mud of a war-torn Polish city, where he has buried himself to hide from the soldiers who murdered his family. His name is Jakob Beer. He is only seven years old. And although by all rights he should have shared the fate of the other Jews in his village, he has not only survived but been rescued by a Greek geologist, who does not recognize the boy as human until he begins to cry.”"
24,Lisa Moore,February,F,9780887849626,2009,Canadian,"“In 1982, the oil rig Ocean Ranger sank off the coast of Newfoundland during a Valentine’s Day storm. All eighty-four men aboard died. February is the story of Helen O’Mara, one of those left behind when her husband, Cal, drowns on the rig.”"
25,Elizabeth Smart,By Grand Central Station I Sat Down and Wept,F,9780586090398,1945,Canadian,"“In lushly evocative language, Smart recounts her love affair with the poet George Barker with an operatic grandeur that takes in the tragedy of her passion; the suffering of Barker’s wife; the children the lovers conceived.”"
26,Wayne Johnson,The Colony of Unrequited Dreams,M,9780676972153,1998,Canadian,"“In this widely acclaimed novel, Johnston has created two of the most memorable characters in recent fiction: Joey Smallwood, who claws his way up from poverty to become New Foundland’s first premier; and Sheilagh Fielding, who renounces her father’s wealth to become a popular columnist and writer, a gifted satirist who casts a haunting shadow on Smallwood’s life and career.”"
27,Ruth Ozeki,A Tale for the Time Being,F,9780143187424,2013,Canadian,"“In Tokyo, sixteen-year-old Nao has decided there’s only one escape from her aching loneliness and her classmates’ bullying, but before she ends it all, Nao plans to document the life of her great-grandmother, a Buddhist nun who’s lived more than a century… Across the Pacific, we meet Ruth, a novelist living on a remote island who discovers a collection of artifacts washed ashore in a Hello Kitty lunchbox—possibly debris from the devastating 2011 tsunami. As the mystery of its contents unfolds, Ruth is pulled into the past, into Nao’s drama and her unknown fate, and forward into her own future.”"
28,Yann Martel,Life of Pi,M,9780857865540,2001,Canadian,"“Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor “Pi” Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.”"
29,Barbara Gowdy,The Romantic,F,9780007156283,2003,Canadian,"“Louise Kirk learns about love and loss at an early age. When she is nine years old, her former beauty queen mother disappears, leaving a note that reads only—and incorrectly—“Louise knows how to work the washing machine.” Soon after, the Richters and their adopted son, Abel, move in across the street. Louise’s immediate devotion to the exotic, motherly Mrs. Richter is quickly transferred to her nature-loving, precociously intelligent son. From this childhood friendship evolves a love that will bind Louise and Abel forever.”"
30,Shilpi Somaya Gowda,The Secret Daughter,F,9780062262837,2010,Canadian,"“On the eve of the monsoons, in a remote Indian village, Kavita gives birth to a baby girl. But in a culture that favors sons, the only way for Kavita to save her newborn daughter’s life is to give her away. It is a decision that will haunt her and her husband for the rest of their lives, even after the arrival of their cherished son.”"
31,Emily St John Mandel,Station Eleven,F,9781443434874,2014,Canadian,"“One snowy night a famous Hollywood actor slumps over and dies onstage during a production of King Lear. Hours later, the world as we know it begins to dissolve. Moving back and forth in time—from the actor’s early days as a film star to fifteen years in the future, when a theater troupe known as The Travelling Symphony roams the wasteland of what remains—this suspenseful, elegiac, spellbinding novel charts the strange twists of fate that connect five people: the actor, the man who tried to save him, the actor’s first wife, his oldest friend, and a young actress with the Traveling Symphony, caught in the crosshairs of a dangerous self-proclaimed prophet.”"
32,Kathleen Grissom,The Kitchen House,F,9781982147181,2010,Canadian,"“Orphaned while onboard ship from Ireland, seven-year-old Lavinia arrives on the steps of a tobacco plantation where she is to live and work with the slaves of the kitchen house. Under the care of Belle, the master’s illegitimate daughter, Lavinia becomes deeply bonded to her adopted family, though she is set apart from them by her white skin.”"
33,Kim Thuy,Ru,F,9782764804636,2009,Canadian,"“Ru. In Vietnamese it means lullaby; in French it is a small stream, but also signifies a flow—of tears, blood, money. … In vignettes of exquisite clarity, sharp observation and sly wit, we are carried along on an unforgettable journey from a palatial residence in Saigon to a crowded and muddy Malaysian refugee camp, and onward to a new life in Quebec. There, the young girl feels the embrace of a new community, and revels in the chance to be part of the American Dream. As an adult, the waters become rough again: now a mother of two sons, she must learn to shape her love around the younger boy’s autism.”"
34,Richard Wagamese,Indian Horse,M,9781553654025,2012,Canadian,"“Saul Indian Horse has hit bottom. His last binge almost killed him, and now he’s a reluctant resident in a treatment centre for alcoholics, surrounded by people he’s sure will never understand him. But Saul wants peace, and he grudgingly comes to see that he’ll find it only through telling his story. With him, readers embark on a journey back through the life he’s led as a northern Ojibway, with all its joys and sorrows.”"
35,Anita Rau Badami,The Hero's Walk,F,9780676973600,2001,Canadian,"“Set in the dusty seaside town of Toturpuram on the Bay of Bengal, The Hero’s Walk traces the terrain of family and forgiveness through the lives of an exuberant cast of characters bewildered by the rapid pace of change in today’s India. Each member of the Rao family pits his or her chance at personal fulfillment against the conventions of a crumbling caste and class system.”"
36,Chevy Stevens,Still Missing,F,9780312573577,2010,Canadian,"“Still Missing interweaves the year Annie spent as the captive of a psychopath in a remote mountain cabin, which unfold through sessions with her psychiatrist, with a second narrative following the events after her escape—her struggle to piece her shattered life back together and the ongoing police investigation into the identity of her captor.”"
37,Frances Itani,Tell,F,9780802123367,2014,Canadian,"“Tell…  follows Tress’s partner Kenan, a young shell-shocked soldier who confines himself indoors, venturing outside only at night to visit the frozen bay where he skated as a boy. Saddened by her altered marriage, Tress seeks advice from her Aunt Maggie. But Maggie and her husband, Am, have problems of their own.”"
38,Esi Edugyan,Half-blood Blues,F,9781443433471,2011,Canadian,"“The aftermath of the fall of Paris, 1940. Hieronymous Falk, a rising star on the cabaret scene, was arrested in a cafe and never heard from again. He was twenty years old. He was a German citizen. And he was black. Fifty years later, Sid, Hiero’s bandmate and the only witness that day, is going back to Berlin. Persuaded by his old friend Chip, Sid discovers there’s more to the journey than he thought.”"
39,Margaret Atwood,The Handmaid's Tale,F,9780771008795,1985,Canadian,"“The Republic of Gilead offers Offred only one function: to breed. If she deviates, she will, like dissenters, be hanged at the wall or sent out to die slowly of radiation sickness. But even a repressive state cannot obliterate desire – neither Offred’s nor that of the two men on which her future hangs.”"
40,Nalo Hopkinson,Brown Girl in the Ring,F,9780446674331,1992,Canadian,"“The rich and privileged have fled the city, barricaded it behind roadblocks, and left it to crumble. The inner city has had to rediscover old ways—farming, barter, herb lore. But now the monied need a harvest of bodies, and so they prey upon the helpless of the streets. With nowhere to turn, a young woman must open herself to ancient truths, eternal powers, and the tragic mystery surrounding her mother and grandmother.”"
41,Rohinton Mistry,A Fine Balance,M,9780771060540,1995,Canadian,"“The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers—a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village—will be thrust together, forced to share one cramped apartment and an uncertain future.”"
42,Ann Marie MacDonald,Fall on Your Knees,F,9780394281780,1996,Canadian,"“They are the Pipers of Cape Breton Island — a family steeped in lies and unspoken truths that reach out from the past, forever mindful of the tragic secret that could shatter the family to its foundations. Chronicling five generations of this eccentric clan, Fall on Your Knees follows four remarkable sisters whose lives are filled with driving ambition, inescapable family bonds, and forbidden love.”"
43,Madeleine Thien,Do Not Say We Have Nothing,F,9780345810434,2016,Canadian,"“Thien takes us inside an extended family in China, showing us the lives of two successive generations–those who lived through Mao’s Cultural Revolution in the mid-twentieth century; and the children of the survivors, who became the students protesting in Tiananmen Square in 1989, in one of the most important political moments of the past century.”"
44,Miriam Toews,A Complicated Kindness,F,9780735273955,2004,Canadian,"“This darkly funny novel is the world according to the unforgettable Nomi, a bewildered and wry sixteen-year-old trapped in a town governed by fundamentalist religion and in the shattered remains of a family it destroyed.”"
45,Margaret Lawrence,The Stone Angel,F,9780735252844,1964,Canadian,"“We meet Hagar as a young girl growing up in a black prairie town; as the wife of a virile but unsuccessful farmer with whom her marriage was stormy; as a mother who dominates her younger son; and, finally, as an old woman isolated by an uncompromising pride and by the stern virtues she has inherited from her pioneer ancestors.”"
46,Austin Clarke,The Polished Hoe,M,9780887621345,2002,Canadian,"“When Mary-Mathilda, one of the most respected women of the island of Bimshire (also known as Barbados) calls the police to confess to a crime, the result is a shattering all-night vigil that brings together elements of the island’s African past and the tragic legacy of colonialism in one epic sweep.”"
47,Katherena Vermette,The Break,F,9781487001117,2016,Canadian,"“When Stella, a young Métis mother, looks out her window one evening and spots someone in trouble on the Break — a barren field on an isolated strip of land outside her house — she calls the police to alert them to a possible crime. In a series of shifting narratives, people who are connected, both directly and indirectly, with the victim — police, family, and friends — tell their personal stories leading up to that fateful night.”"
48,David Adams Richards,Mercy among the Children,M,9780385259958,2000,Canadian,"“When twelve-year-old Sidney Henderson pushes his friend Connie off the roof of a local church in a moment of anger, he makes a silent vow: Let Connie live and I will never harm another soul. At that very moment, Connie stands, laughs, and walks away. Sidney keeps his promise through adulthood despite the fact that his insular, rural community uses his pacifism to exploit him.”"
49,Nino Ricci,Lives of the Saints,M,9781897151358,1990,Canadian,"“When young Vittorio Innocente’s mother, Cristina, is bitten by a snake in the family stable, no one sees the blue-eyed stranger leaving except for Vittorio. He struggles to keep his mother’s secret but secrets in a small village are hard to keep, and while Cristina’s belly gradually grows under her loose dresses, they find themselves shunned by their superstitious neighbours.”"
75,Dani Couture,Algoma,F,9781926743141,2011,Canadian,"A year after watching Leo go through thin ice, twelve-year- old Ferd is obsessed with the idea that he can persuade his dead brother to come home through a campaign of letters. Plaintive notes appear around the house-folded squares of paper in the rain reservoir, kitchen sink, and washing machine. Ferd's mother, Algoma, is also unravelling; attempting to hide her son's letters, reconnect with her increasingly distant husband, and rebuild her life."
76,Douglas Coupland,Microserfs,M,9780006548591,1996,Canadian,"Against a Seattle backdrop of software, corporate coltishness and the financial terror of San Francisco and Silicon Valley tech start-ups, a handful of misfit Microsoft employees ""stick a piece of dynamite inside themselves, like a cartoon cat, in the hopes that when they reassemble their exploded pieces they will be somebody different."" Told through the online journal of a 26-year-old aspiring code writer, danielu@microsoft, Coupland gives readers an intimate, deadly accurate and profoundly comical view of a way of life that defined the 90s-and quickly established the basis for a new electronic order. As Daniel and his gang of maladjusted drones fight to find life beyond ""the Campus"" and Star Trek reruns, they embark on an engaging, if awkward, scramble toward love and success in a brave new world."
78,Sinclair Ross,As for Me and My House,M ,9780771099977,1941,Canadian,"As For Me and My House takes the form of a journal. The unnamed diarist … explores the bittersweet nature of human relationships, of the unspoken bonds that tie people together, and the undercurrents of feeling that often tear them apart. Her chronicle creates an intense atmosphere, rich with observed detail and natural imagery.”"
79,Joy Kogawa,Obasan,F,9780735233706,1999,Canadian,"Based on the author's own experiences, this award-winning novel was the first to tell the story of the evacuation, relocation, and dispersal of Canadian citizens of Japanese ancestry during the Second World War."
80,Saleema Nawaz,Bone and Bread,F,9781770890091,2013,Canadian,"Beena and Sadhana are sisters who share a bond that could only have been shaped by the most unusual of childhoods -- and by shared tragedy. Orphaned as teenagers, they have grown up under the exasperated watch of their Sikh uncle, who runs a bagel shop in Montreal's Hasidic community of Mile End. Together, they try to make sense of the rich, confusing brew of values, rituals, and beliefs that form their inheritance. Yet as they grow towards adulthood, their paths begin to diverge. Beena catches the attention of one of the ""bagel boys"" and finds herself pregnant at sixteen, while Sadhana drives herself to perfectionism and anorexia. When we first meet the adult Beena, she is grappling with a fresh grief: Sadhana has died suddenly and strangely, her body lying undiscovered for a week before anyone realizes what has happened. Beena is left with a burden of guilt and an unsettled feeling about the circumstances of her sister's death, which she sets about to uncover. Her search stirs memories and opens wounds, threatening to undo the safe, orderly existence she has painstakingly created for herself and her son. Heralded across Canada for the power and promise of her debut collection, Mother Superior, Nawaz proves with Bone and Bread that she is one of our most talented and unique storytellers."
81,Michael Ondaatje,In the Skin of a Lion,M,9781408800348,1996,Canadian,"Bristling with intelligence and shimmering with romance, this novel tests the boundary between history and myth. Patrick Lewis arrives in Toronto in the 1920s and earns his living searching for a vanished millionaire and tunneling beneath Lake Ontario. In the course of his adventures, Patrick's life intersects with those of characters who reappear in Ondaatje's Booker Prize-winning The English Patient."
82,Barbara Gowdy,Helpless,F,9780002008921,2008,Canadian,"Celia is the single mother of an exceptionally beautiful child: nine-year-old Rachel. All too aware of the precarious balance of the life she has built for the two of them, Celia worries about her daughter’s longing for the father she has never met. When Rachel disappears one night during a blackout, Celia is stricken with guilt and terror. But her desperation is only half the story as Ron, the man who has taken Rachel, struggles with feelings that are at once tender, misguided and chillingly fixated.A suspenseful and haunting novel of obsessive love, Helpless once again showcases Barbara Gowdy’s incredible talent for bringing the reader face to face with the provocative and discomforting. At the height of the story’s tension, she leads us with a steady hand into territory that is unexpected but ultimately as transcendent as the passing of a storm."
83,Rawi Hage,De Niro's Game,M,9780887848346,2009,Canadian,"Cockroach is as urgent, unsettling, and brilliant as Rawi Hage's bestselling and critically acclaimed first book, De Niro's Game. The novel takes place during one month of a bitterly cold winter in Montreal's restless immigrant community, where a self-described thief has just tried but failed to commit suicide. Rescued against his will, the narrator is obliged to attend sessions with a well-intentioned but naive therapist. This sets the story in motion, leading us back to the narrator's violent childhood in a war-torn country, forward into his current life in the smoky emigre cafes where everyone has a tale, and out into the frozen night-time streets of Montreal, where the thief survives on the edge, imagining himself to be a cockroach invading the lives of the privileged, but wilfully blind, citizens who surround him."
85,Paul Quarrington,Whale Music,M,9780679308683,1997,Canadian,"Des Howell is a former rock 'n' roll star who never leaves his secluded oceanfront mansion. Naked, rich and fabulously deranged, he subsists on a steady diet of whiskey, pharmaceuticals and jelly doughnuts and occasionally works on his masterpiece, ""Whale Music."" One day, upon awakening from his usual drunken stupor, Des discovers on his sofa a young alien from the faraway universe of Toronto. This girl has made the trek to Des' hideaway because she believes in the ""Whale Music"" and she's crazy enough to think that Des can make a comeback hit with his mad magnum opu"
87,Greg Kearney,The Desperates,M,9781770863026,2013,Canadian,"Edmund was dying, but now he isn't. Granted a reprieve from the HIV that took everyone he loved away from him, Edmund decides-after a period of holing up in his Rosedale home-to jump-start his new lease on life by diving hard into the sex and drugs of the party scene. Teresa is dying, and she's livid. Determined not to let her illness slow her down, she uses the year she has remaining to avenge past grievances and correct certain ""mistakes"" she feels she made-both in connection to her estranged son."
88,Matt Cohen,Elizabeth and After,M,9780735273726,2017,Canadian,"Ever since the death of his mother, Elizabeth McKelvey, Carl McKelvey has been away from his small-town home of West Gull for three years. When his father, William, steals a car and lands in the middle of Dead Swede Lake, Carl comes back home to pick up the pieces. But Carl's homecoming is anything but joyful, as he confronts the past he tried to run from: the guilt he holds over his role in his mother's death, his fractured relationship with his ex-wife Chrissy, and his daughter Lizzie, whom he hopes to reconcile and reconnect with. At the center of it all is Elizabeth, a woman whose death reveals secrets of her own."
90,Tomson Highway,Kiss of the Fur Queen,M,9780385258807,1999,Canadian,"Following the phenomenal success and critical acclaim of Tomson Highway's two plays, The Rez Sisters and Dry Lips Oughta Move to Kapuskasing, his first novel, Kiss of the Fur Queen, similarly infuses stark realism with the ""magic"" of Cree culture and blends tragedy with raucous comedy."
91,Marnie Woodrow ,Spelling Mississippi,F,9780676974317,2002,Canadian,"From an acclaimed short-story writer, a blazingly intelligent and humorous debut novel that is set in New Orleans and tells the story of two strangers whose paths first cross on the remarkable banks of the Mississippi. Cleo, a Canadian on holiday in New Orleans, is sitting alone in the French Quarter late one night, dreamily watching the river’s lazy progress. Suddenly, a woman clad in full evening dress, from rhinestone tiara to high heels, takes a running leap off the wharf into the Mississippi. Cleo watches, astonished, then turns and runs, mistakenly assuming the jumper is dead — a suicide. But Madeline, it turns out, is not bent on suicide. She is irresistibly drawn to water, as is Cleo, who was conceived during the great flood in Florence in 1966. Perhaps it is this shared obsession with the murky depths that fuels Cleo’s determination to find Madeline. She pounds the quaint streets of New Orleans, city of cheap bourbon, rich turtle soup, the scent of magnolias and A Streetcar Named Desire."
92,Madeleine Thien,Certainty,F,9780771085291,2007,Canadian,"Gail Lim, a producer of radio documentaries in present-day Vancouver, finds herself haunted by events in her parents’ past in wartorn Asia, a past which remains a mystery that fiercely grips her imagination. As a child, Gail’s father, Matthew Lim, wandered the Leila Road and the jungle fringe with his lovely Ani, a girl whose early bond with Matthew will affect his life always. As children, they found themselves together under the terrifying shadow of war in Japanese-occupied Sandakan, Malaysia. The war shatters their families and splits the two apart until years later, when they remeet only to be separated again. The legacy of their connection is later inherited by Matthew’s wife, Clara, in unexpected ways."
96,Gil Adamson,The Outlander,F,9781770892590,2012,Canadian,"In 1903 a mysterious young woman flees alone across the West, one heart-pounding step ahead of the law. At nineteen, Mary Boulton has just become a widow—and her husband's killer. As bloodhounds track her frantic race toward the mountains, she is tormented by mad visions and by the knowledge that her two ruthless brothers-in-law are in pursuit, determined to avenge their younger brother's death. Responding to little more than the primitive fight for life, the widow retreats ever deeper into the wilderness—and into the wilds of her own mind—encountering an unforgettable cast of eccentrics along the way."
97,M.G. Vassanji,The Book of Secrets,M,9780771087219,1997,Canadian,"In 1988, a retired schoolteacher named Pius Fernandes receives an old diary found in the back room of an East African shop. Written in 1913 by a British colonial administrator, the diary captivates Fernandes, who begins to research the coded history he encounters in its terse, laconic entries. What he uncovers is a story of forbidden liaisons and simmering vengeances, family secrets and cultural exiles--a story that leads him on an investigative journey through his own past and Africa's."
98,Margaret Atwood,Alias Grace,F,9780735253391,1999,Canadian,"In Alias Grace, bestselling author Margaret Atwood takes us back in time and into the life of one of the most enigmatic and notorious women of the nineteenth century. Grace Marks has been convicted for her involvement in the vicious murders of her employer, Thomas Kinnear, and Nancy Montgomery, his housekeeper and mistress. Some believe Grace is innocent; others think her evil or insane. Now serving a life sentence, Grace claims to have no memory of the murders. Dr. Simon Jordan, an up-and-coming expert in the burgeoning field of mental illness, is engaged by a group of reformers and spiritualists who seek a pardon for Grace. He listens to her story while bringing her closer and closer to the day she cannot remember. What will he find in attempting to unlock her memories? Is Grace a female fiend? A bloodthirsty femme fatale? Or is she the victim of circumstances?"
99,David Bergen,The Time in Between,M,9780771011399,2006,Canadian,"In search of love, absolution, or forgiveness, Charles Boatman leaves the Fraser Valley of British Columbia and returns mysteriously to Vietnam, the country where he fought twenty-nine years earlier as a young, reluctant soldier. But his new encounters seem irreconcilable with his memories. When he disappears, his daughter Ada, and her brother, Jon, travel to Vietnam, to the streets of Danang and beyond, to search for him. Their quest takes them into the heart of a country that is at once incomprehensible, impassive, and beautiful. Chasing her father’s shadow for weeks, following slim leads, Ada feels increasingly hopeless. Yet while Jon slips into the urban nightlife to avoid what he most fears, Ada finds herself growing closer to her missing father — and strong enough to forgive him and bear the heartbreaking truth of his long-kept secret."
100,Ivan Coyote,Rebent Sinner,T,9781551527734,2019,Canadian,"In their latest book, Ivan takes on the patriarchy and the political, as well as the intimate and the personal in these beguiling and revealing stories of what it means to be trans and non-binary today, at a time in their life when they must carry the burden of heartbreaking history with them, while combatting those who would misgender them or deny their very existence. These stories span thirty years of tackling TERFs, legislators, and bathroom police, sure, but there is joy and pleasure and triumph to be found here too, as Ivan pays homage to personal heroes like the late Leslie Feinberg while gently guiding younger trans folk to prove to themselves that there is a way out of the darkness. Rebent Sinner is the work of an accomplished artist whose plain truths about their experience will astound readers with their utter, breathtaking humanity."
101,Shyam Selvadurai,Funny Boy,M,9780771079511,1997,Canadian,"In this remarkable debut novel, a boy’s bittersweet passage to maturity and sexual awakening is set against escalating political tensions in Sri Lanka, during the seven years leading up to the 1983 riots. Arjie Chelvaratnam is a Tamil boy growing up in an extended family in Colombo. It is through his eyes that the story unfolds and we meet a delightful, sometimes eccentric cast of characters. Arjie’s journey from the luminous simplicity of childhood days into the more intricately shaded world of adults – with its secrets, its injustices, and its capacity for violence – is a memorable one, as time and time again the true longings of the human heart are held against the way things are."
102,Richard Van Camp,The Lesser Blessed,M,9781771621137,1996,Canadian,"Internationally praised and the subject of a critically acclaimed film, Richard Van Camp’s bestselling novel about coming of age in Canada’s North has achieved the status of an Indigenous classic and it was included in CBC’s list of 100 novels that make you proud to be Canadian. This special 20th anniversary edition features a new introduction from the author, as well as two short stories that follow the lives of the novel’s main characters. The Lesser Blessed tracks the exploits of Larry Sole, a Dogrib teenager living in the small Northern town of Fort Simmer. After losing much of his memory in a violent accident, what he loves more than anything is reading, hearing and collecting stories. With no interest in booze or sports, he floats on the edges of high school life, sustained by his love of Iron Maiden and a hopeless passion for school hottie Juliet Hope. When good-looking, trouble-seeking Johnny Beck moves into town, he shakes up Larry’s dreamy existence and leads him into a life of sex, drugs and violence, bringing him face to face with memories that he's done his best to lose."
103,Farzana Doctor,Six Metres of Pavement,F,9781554887675,2011,Canadian,"Ismail Boxwala made the worst mistake of his life one summer morning twenty years ago: he forgot his baby daughter in the back seat of his car. After his daughter’s tragic death, he struggles to continue living. A divorce, years of heavy drinking, and sex with strangers only leave him more alone and isolated. But Ismail’s story begins to change after he reluctantly befriends two women: Fatima, a young queer activist kicked out of her parents’ home; and Celia, his grieving Portuguese-Canadian neighbour who lives just six metres away. A slow-simmering romance develops between Ismail and Celia. Meanwhile, dangers lead Fatima to his doorstep. Each makes complicated demands of him, ones he is uncertain he can meet."
