title,authors,overview
Meadows Of Memory: Images Of Time And Tradition In American Art And Culture (anne Burnett Tandy Lectures In American Civilization),['Michael Kammen'],"""History painting,"" for many people, conjures up Washington Crossing the Delaware and other paintings of heroic historical events. But history has made its way into considerably more American art than such obvious examples, in the view of Michael Kammen. In three thought-provoking and innovative essays, Kammen ranges from the Renaissance to the twentieth century, from central Europe to the western United States, and from elegant oil painting to folk sculpture to show the transformations of Old World icons of time into New World images of social memory and tradition. In the first essay, Kammen demonstrates how American artists and artisans modified European emblems of time in response to their New World setting. In the second essay concerning nineteenth-century landscape art, he explores how artists used space to represent the movement of American culture through time. In the final essay, he looks at two distinctively American motifs of collective memory and tradition--old houses and elm trees. Throughout this interdisciplinary study, Kammen draws his examples from well-known and lesser-known artists, as well as from diverse American writers. Over 100 black-and-white illustrations accompany the text. Of interest to all students of American culture, Meadows of Memory raises intriguing questions about the American paradox of desiring to conquer mutability while yearning for emblems of a (perhaps imagined?) past."
"Frankly, My Dear: Gone With The Wind Revisited (icons Of America)",['Molly Haskell'],"""How and why has the saga of Scarlett O'Hara kept such a tenacious hold on our national imagination for almost three-quarters of a century? In the first book ever to deal simultaneously with Margaret Mitchell's beloved novel and David Selznick's spectacular film version of Gone with the Wind, film critic Molly Haskell seeks the answers. By all industry predictions, the film should never have worked. What makes it work so amazingly well are the fascinating and uncompromising personalities that Haskell dissects here: Margaret Mitchell, David Selznick, and Vivien Leigh. As a feminist and onetime Southern adolescent, Haskell understands how the story takes on different shades of meaning according to the age and eye of the beholder. She explores how it has kept its edge because of Margaret Mitchell's (and our) ambivalence about Scarlett and because of the complex racial and sexual attitudes embedded in a story that at one time or another has offended almost everyone."" Haskell imaginatively weaves together disparate strands, conducting her story as her own inner debate between enchantment and disenchantment. Sensitive to the ways in which history and cinema intersect, she reminds us why these characters, so riveting to Depression audiences, continue to fascinate 70 years later."
In The Company Of Scholars: The Struggle For The Soul Of Higher Education,['Julius Getman'],"""I began this book to articulate my sense of disappointment and alienation from the status I had fought so hard to achieve."" A remarkable admission from an alumnus of Harvard Law School who has held tenured professorships in the law schools of Yale and Stanford and has taught in the law schools of Harvard and Chicago. In this personal reflection on the status of higher education, Julius Getman probes the tensions between status and meaning, elitism and egalitarianism, that challenge the academy and academics today. He shows how higher education creates a shared intellectual community among people of varied classes and races - while simultaneously dividing people on the basis of education and status. In the course of his explorations, Getman touches on many of the most current issues in higher education today, including the conflict between teaching and research, challenges to academic freedom, the struggle over multiculturalism, and the impact of minority and feminist activism. Getman presents these issues through relevant, often humorous anecdotes, using his own and others' experiences in coping with the constantly changing academic landscape. Written from a liberal perspective, the book offers another side of the story told in such recent works as Allan Bloom's The Closing of the American Mind and Roger Kimball's Tenured Radicals. It will be important reading for everyone concerned with the future of higher education, as well as for anyone considering an academic career."
"Yale French Studies, Number 91: Genet: In The Language Of The Enemy (yale French Studies Series)",['Scott Durham'],"""I couldn't change the world alone, I could only pervert it: that is what I attempted by a corruption of language, that is to say from within this French language that appears so noble."" It is in these terms that Jean Genet describes his ambiguous role in the French literary canon: that of an enemy within, one who puts the monuments and forms of the dominant culture in promiscuous contact with marginal languages and practices in a ""war of words."" This volume investigates the stakes and boundaries of this war for Genet and for his readers, offering new interpretations of his works and showing how they oblige us to rethink our own relations, as readers and interpreters, to literature itself."
"Young, Poor, And Pregnant: The Psychology Of Teenage Motherhood",['Judith S. Musick'],"""I like it when people notice I'm having a baby. It gives me a good feeling inside and makes me feel important.""-a teenage mother
<p>Teenage mothers are often poor young girls who define themselves through motherhood and who see getting pregnant as less frightening than finishing school or getting a job. In this book an expert on adolescent pregnancy discusses how psychological pressures of adolescence interact with the problems of being poor to create a situation in which early sexuality, pregnancy, and childbearing-often repeated childbearing-seem almost inevitable. Drawing on her experience as founding director of one of the nation's largest and most successful programs for teenage mothers, Judith Musick sheds new light on what is required to significantly improve the life chances of teenage mothers and their children.</p>
<p>Frequently quoting from the diaries of teenage mothers themselves, Musick looks at the family and community problems that accompany poverty and shows how they influence the psychological development of young girls, examines the sexual socialization (and exploitation) of disadvantaged females, and analyzes the role played by mother-daughter relationships. She describes how adolescents feel about and raise their children. Musick concludes by recommending strategies for intervention programs that will help promote the developmental, psychological, and environmental conditions necessary for teenage mothers to change their lives.</p>"
My Body: Women Speak Out About Their Health Care,"['Crook, Marion , 1941-']","""I want to stay in charge of my health. I want to make the decisions."" This is the overwhelming sentiment of all women who are looking for ways to find vital information about their health care choices. In other times and cultures, women were the healers and doctors of their communities, exchanging information and building on their knowledge. During the Middle Ages, however, much of the wisdom and health information that women had acquired became the property of a patriarchal scientific establishment that disregarded and neglected them. In many ways, this is still the case for women who need to obtain information crucial to their health. Is the modern medical community fulfilling their long-neglected needs? Are their health problems taken seriously? What would they like to change about this system? My Body: Women Speak Out about Their Health Care is a provocative response to these questions as well as an acute examination of the tenuous role of women within today's health care system. Ms. Marion Crook, an esteemed health writer/researcher and community health care nurse, presents compelling interviews with women from various ethnic and socioeconomic backgrounds in the United States and Canada that explore; how they obtained medical information; their experiences using different kinds of medicine - western, alternative, ethnic based, or a combination thereof; their struggles to realize the role of health and illness in their lives. The author gives specific advice on how women can obtain not only useful health information but also respect and emotional support from a physician. From her years of nursing experience, Ms. Crook has extraordinary insight into the way in which women use or are used by the health care systems in the United States and Canada and projects what they can do to implement change in local health care facilities. This book will enable women of all ages and cultural backgrounds to educate and empower themselves in every aspect of their health

                        <p>Based on interviews w/women from various socioeconomic &amp; ethnic backgrounds/explores how they obtained medical info.
</p>"
"Tomorrow, God Willing: Self-made Destinies In Cairo",['Unni Wikan'],"""I, without earning a penny, have to be the provider!"" Thus Umm Ali sums up the nearly impossible challenge of her daily existence. Living in a poor neighborhood of Cairo, she has raised eight children with almost no help from her husband or the Egyptian government and through hardships from domestic violence to constant quarrels over material possessions.
<p>Umm Ali's story is amazing not only for what it reveals about her resourcefulness but for the light it sheds on the resilience of Cairo's poor in the face of disastrous poverty. Like countless other poor people in Cairo, she has developed a personal buoyancy to cope with relentless economic need. It stems from a belief in the ability of people to shape their own destiny and helps explain why Cairo remains virtually free of the social ills--violent street crime and homelessness--that have eroded the lives of poor people in other major cities.</p>
<p>Unni Wikan first met Umm Ali and her family twenty-five years ago and has returned almost every year. She draws on her firsthand experience of their lives to create an intimate portrait of Cairo's back streets and the people who live there. Wikan's innovative approach to ethnographic writing reads like a novel that presents the experiences of Umm Ali's family and neighbors in their own words.</p>
<p>As Umm Ali recounts triumphs and defeats--from forming a savings club with neighbors to the gradual drifting away and eventual return of her husband--she unveils a deeply reflective attitude and her unwavering belief that she can improve her situation. Showing how Egyptian culture interprets poverty and family, this book attests to the capacity of an individual's self-worth to withstand incredible adversity.</p>"
Political Innovation In America: The Politics Of Policy Initiation,['Nelson W. Polsby'],"""In his recognition of the importance of ideas and institutions in politics, in his limited use of the jargon of political analysis, and in his evident wit and ready humor, Nelson Polsby is himself being innovative in this study of the policy process. Political Innovation In America is a welcome addition to the public policy literature."" -William F. Connelly, Jr., Benchmark
<p>""This book will have a significant impact in restoring the links between politics and public policy. It's safe to say that our understanding of both of these subjects will never be the same again.""-Francis E. Rourke, The Johns Hopkins University</p>"
The Earth's Blanket: Traditional Teachings For Sustainable Living,"['Turner, Nancy J. , 1947-']","""In The Earth's Blanket, ethnobotanist Nancy Turner explores the wealth of ecological knowledge and spiritual connection to the natural world that is fundamental to indigenous cultures and lifeways."" ""Turner has worked with Native peoples in the Pacific Northwest for more than thirty-five years, and generations of her indigenous teachers have given her permission to share their stories and perspectives about the natural world. Their teachings describe a rich variety of methods of harvesting, transporting, processing, storing, maintaining, and enhancing natural resources such as trees, medicinal plants, berries, root vegetables, fish, meat, and shellfish. More than just stories, these narratives underlie a belief system that informs everyday attitudes toward the earth."" The Earth's Blanket suggests how systems of traditional ecological knowledge can contribute to the modern world."
True To Life: Why Truth Matters (bradford Books),['Michael P. Lynch'],"""In this book, Michael Lynch argues that truth does matter, in both our personal and political lives. Lynch explains that the growing cynicism over truth stems in large part from our confusion over what truth is."" True to Life defends four simple claims : that truth is objective; that it is good to believe what is true; that truth is a goal worthy of inquiry; and that truth can be worth caring about for its own sake - not just because it gets us other things we want. In defense of these ""truisms about truth,"" Lynch diagnoses the sources of our cynicism and argues that many contemporary theories of truth cannot adequately account for its value. He explains why we should care about truth, arguing that truth and its pursuit are part of living a happy life, important in our personal relationships and for our political values."
Tokyo Central: A Memoir (mclellan Book),['Edward G. Seidensticker'],"""In this memoir, Seidensticker tells of his introduction to Japan at the Navy Japanese Language School in 1942, at the age of twenty-one. He recounts his formative experiences as a young diplomat during the Occupation, his early impressions of the Japanese literary scene and its stormy PEN session meetings, his encounters with luminaries such as Arthur Koestler and Edwin Reischauer, and his gradual immersion in Tokyo life."" ""He offers vivid glimpses of Japan's intellectual and political elite as it moved from the ashes of World War II through Cold War political storms in the 1950s and 1960s, when strikes and radical politics abounded, through the 1970s, when the nation's strategic and cultural alliances hardened with the United States and Europe and Japanese politics turned decisively more conservative."" Tokyo Central illuminates the translator's challenge in approaching classical and modern Japanese culture, and gives singular insight into the writing and personalities of many leading Japanese novelists."
Ariel,"['Rodó, José Enrique , 1871-1917']","""Irritating, insufferable, admirable, stimulating, disappointing Rodó: . . . you are part of our family quarrels, and must bear with your disrespectful, equally disappointed, intuitive, incomplete nephews, living in a world that you helped define for us, and offered unto our revolt.""--from the Prologue by Carlos Fuentes 
<p>First published in 1900 Uruguay, Ariel is Latin America's most famous essay on esthetic and philosophical sensibility, as well as its most discussed treatise on hemispheric relations. Though Rodó protested the interpretation, his allegorical conflict between Ariel, the lover of beauty and truth, and Caliban, the evil spirit of materialism and positivism, has come to be regarded as a metaphor for the conflicts and cultural differences between Latin America and the United States. Generations of statesmen, intellectuals, and literary figures have been formed by this book, either in championing its teachings or in reacting against them. This edition of Ariel, prepared especially with teaehers and students in mind, contains a reader's guide to names, places, and important movements, as well as notes and a comprehensive annotated English/Spanish bibliography.</p>"
The First Life Of St Francis Of Assisi,['Thomas Of Celano'],"""Leaving behind his wayward youth, the visionary and mystic Francesco Bernardone (1181-1226) embraced a life of utter poverty and, near the end of his life, received the stigmata - the marks of Christ's passion - on his body. He changed water into wine, preached to the birds, cured countless cripples, and wrestled with devils."" ""Or did he? How, after so long, can we separate history from legend?"" ""Thomas of Celano was St. Francis' friend and disciple. This new translation of his First Life is the earliest and most reliable account of a truly extraordinary man.""--BOOK JACKET."
Print Style: Hand-printed Patterns For Home Decoration,"['John Hinchcliffe', 'Wendy Barber']","""Lively and colorful hand-printed patterns used as wall decorations, on fabrics, or on household objects, can easily be used to transform any kitchen or home. . . .will teach you all sorts of techniques to create your own patterns, including potato printing, block printing, silkscreening and dying. . . .learn about how to design patterns well. . .use motifs effectively. . . .More than twenty practical projects. . . .clear and easy-to-follow instructions. . . .a comprehensive source of ideas and inspiration for. . .novice and experienced home decorators. . . .inspiring. . .""—<i>Country Kitchens</i>. 160 pages (all in color), 9 X 11."
Max Beerbohm: A Kind Of Life,"['Professor N. John Hall', 'N. John Hall']","""Max Beerbohm was widely celebrated as the wittiest mind of his age. And it was a very long age indeed: he became famous in the mid-1890s and remained so until his death in 1956. His wit manifested itself in both prose and caricature, and his writings and drawings are keenly interesting. Max's life, however, was relatively uneventful, of interest, he said, only to himself. This biography of Max, the first in forty years, enlivens his story by quoting him whenever possible, and the result - thanks to Max himself - is a scintillating and entertaining book."" This book, like Max's work, highlights his connection with various eminences over three eras: Algernon Swinburne, J. A. M. Whistler, Oscar Wilde, Henry James, George Bernard Shaw, Lytton Strachey, Virginia Woolf and many others. Written in an idiosyncratic, opinionated, lively, quirky style, it is just the kind of biography of which Max might have (for the most part) approved."
The Other Boston Busing Story: What`s Won And Lost Across The Boundary Line,"['Eaton', 'Susan E.']","""METCO, America's longest-running voluntary school desegregation program, has for 34 years bused black children from Boston's city neighborhoods to predominantly white suburban schools. In contrast to the infamous violence and rage of forced school busing within the city in the 1970s, METCO has quietly and calmly promoted school integration. How has this program affected the lives of its graduates? Would they choose to participate if they had it to do over again? Would they place their own children on the bus to suburbia?"" ""Sixty-five METCO graduates vividly recall their own stories in this revealing book. Susan E. Eaton interviewed program participants who are now adults, asking them to assess the benefits and hardships of crossing racial and class lines on their way to school. Their answers poignantly show that this type of racial integration is not easy - they struggled to negotiate both black and white worlds, often feeling fully accepted in neither. Even so, nearly all the participants believe the long-term gains outweighed the costs and would choose a similar program for their own children - though not without conditions and apprehensions.""--BOOK JACKET."
Mortal Coil: A Short History Of Living Longer,['David Boyd Haycock'],"""Mortal Coil explores the medical, scientific and philosophical theories behind the quest for the prolongation of human life. It was a conundrum that intrigued Sir Francis Bacon and underpinned the scientific revolution; ideas of ultimate perfectibility, indefinite progress and worldly rather than heavenly immortality fed directly into the spirit of the Enlightenment and on into the nineteenth and twentieth centuries. In today's world of genetic research, cryonics and nanotechnology, we still seek the same elusive philosopher's stone."" From Adam and Eve to human cloning and designer babies, from seventeenth-century lifestyle guides to science fiction, Haycock's narrative introduces an array of fascinating individuals, including Rene Descartes, Benjamin Franklin, Jonathan Swift, Charles Darwin and Sigmund Freud and a score of unknown figures. Full of extraordinary stories and valuable insights, this is an exploration into our unceasing desire to live forever."
The Greeks: From The Bbc Television Series By Christopher Burstall And Kenneth Dover,['Kenneth James Dover'],"""My Greeks were neither sophisticated layabouts nor pious fatalists, and least of all were they portentous gurus brooding over the lost Secrets of the Ancients. They were a resilient, sceptical, cheeky people, whose distinctive contribution to our history was to combine a readiness to ask 'Why?' and 'Why not?' with a conviction that only sane, reasoned and clearly expounded answers to those questions were worth listening to."" In this book, Kenneth Dover introduces the people and culture of ancient Greece."
Call Me Lucky,['Bing Crosby'],"""One of the most enchanting of all show—business memoirs."" —Gary Giddins. Reissued to coincide with the paperback publication of the definitive Bing biography by Gary Giddins, here is ""a collection of anecdotes and reminiscences that is as warm and witty as any Crosby performance. [Bing] could have surely become a full—time writer had his schedule not been taken up with being one of the great entertainers of the century."" —Will Friedwald 
<p>Author Biography: Pete Martin was a writer for <i>The Saturday Evening Post</i>. Gary Giddins is the author of <i>Bing Crosby: A Pocketful of Dreams —The Early Years, 1903—1940</i>.</p>"
Middle Ground,"['Macdonald, Angus , 1926-']","""Our society puts great store on 'doing.' All around us we see people working at it even when they no longer have to 'do,' as if in dread of a quiet moment that might bring them face to face with themselves. This way it is possible for a man's life to be lost to him, for him to feel at the last moment that his existence had been no more than a bullet fired point blank at the earth... Probably I am only flattering myself by imagining that my successful doing in the financial market place, that most pragmatic of institutions, was an attempt to serve my sentence as quickly as possible so as to get my doing behind me. But even then, when I was in the clutches of the need to be successful, the need to be approved of by others, to do in all things what I supposed was expected of me as son, students, husband, father, partner, citizen, there remained a secret part of me that knew that only in solitude could I find what I was looking for but had no words to define.""
<p>Angus MacDonald has found his words. His book charts a course of self-discovery, and the very act of writing it led him further to define the remembered self. This self is most emphatically defined in terms of its real connections with other people—family, friends, associates—whose memories populate his mind. And in revealing it forthrightly, he establishes a kinship with his reader, who will likely find that he privately shares many feelings that MacDonald openly expresses.</p>
<p>The outer frame of the narrative relates episodes both typical and critical stretching over half a lifetime: growing up in Baltimore in a household that was very much feeling the effects of the Depression—joining the Navy as a seaman in World War II only to be fortuitously ""shipped out"" to Harvard and then down the Charles River to M.I.T. to apprenticeship training that led to a degree in aeronautical engineering—taking a Masters degree at M.I.T. after the war and a research assistantship there—working for several years at Oak Ridge in an attempt to design a nuclear-powered rocket—a shifting from engineering to administrative problems—joining a firm specializing in negotiating corporate mergers, becoming a partner, finally establishing his own highly successful financial firm.</p>
<p>If the broad outline of this book is a classic American success story, its inner life lies in the seemingly little things, the affectionately remembered details. Things like selling shoes in the Tennessee hills, scuba diving with a daughter off Bermuda, getting to like a father-in-law, a public ass-kissing ceremony at Eliot House, Harvard.</p>
<p>And some things that can't ordinarily be seen are made vividly visible. Through an engineer's eyes we are allowed, for example, a glimpse of a nuclear reactor in operation at the atomic level and we can follow a stream of air as it twists its way through the innards of a jet engine. These descriptions impart to the nonengineer the sense of excitement felt by the makers of modern technology.</p>
<p>There are passages in the book in which MacDonald consults his own thoughts and reflections based on his experience and reading. For the most part, though, there are people around, people of all sorts. They are observed warmly but not sentimentally; the warts are there, and so are the warps of personality. Looking back, after a divorce and analysis, MacDonald is able to take the same full measure of himself, with a degree of understanding that is rarely found in today's successful American businessman.</p>"
