title,authors,overview
Learn To Play Piano In 24 Hours,['John Dutton'],"<p>(Music Sales America). If you have ever wanted to learn to play all sorts of piano styles from Baroque and classical, to boogie, pop, rock and jazz, then this book is for you! Learn to Play Piano in 24 Hours offers you 24 clear, self-contained lessons fully-illustrated with photographs, diagrams and musical examples for you to take at your own pace. Each chapter takes you through workouts and exercises right through to a performance piece that you'll be able to play in no time. Informative, clear and entertaining, the accompanying DVD gives you all the know-how you need. Everything is explained in detail from technique, tone and terminology, to historical background, top tips and a great collection of original compositions.</p>"
The Invention of Paris: A History Told in Footsteps,"['Eric Hazan', 'David Fernbach']","<p><b><br>The Invention of Paris</b> is a tour through the streets and history of the French capital under the guidance of radical Parisian author and publisher Eric Hazan.</p><p>Hazan reveals a city whose squares echo with the riots, rebellions and revolutions of the nineteenth and twentieth centuries. Combining the raconteurâs ear for a story with a historianâs command of the facts,<br>he introduces an incomparable cast of characters: the literati, the philosophers and the artists-Balzac, Baudelaire, Blanqui, Flaubert,<br>Hugo, Maney, and Proust, of course; but also Doisneau, Nerval and Rousseau.</p><p>It is a Paris dyed a deep red in its convictions. It is haunted and vitalized by the history of the barricades, which Hazan retells in rich detail. <b>The Invention of Paris</b> opens a window on the forgotten byways of the capitalâs vibrant and bloody past, revealing the city in striking new colors.</p>"
The S Word: A Short History Of An American Tradition...socialism,['John Nichols'],"<p><b>A short, sharp, irreverent rejoinder to right-wing red-baiting.</b></p>
<p>A few months before the 2010 midterms, Newt Gingrich described the socialist infiltration of American government and media as “even more disturbing than the threats from foreign terrorists.” John Nichols offers an unapologetic retort to the return of red-baiting in American political life—arguing that socialism has a long, proud, American history. Tom Paine was enamored of early socialists, Horace Greeley employed Karl Marx as a correspondent, and Helen Keller was an avowed socialist. <b>The “S” Word</b> gives Americans back a crucial aspect of their past and makes a forthright case for socialist ideas today.</p>"
The Cartoonist's Workshop,['Steve Marchant'],"<p><b>An award-winning artist concocts a really fantastic-looking drawing workbook that’s as fun, colorful, and carefully structured as the cartoons themselves—and a must on every aspiring cartoonist’s bookshelf.</b></p>
<p>From mastering the correct facial proportions to drawing believable scenes with human and animal figures: that’s where this effective and engaging how-to course takes would-be cartoonists, whether they want to create a superhero or mock the latest political shenanigans. It teaches basic drawing skills, provides guidance on the necessary tools, covers a wide range of styles and techniques, and offers thoughtful projects that encourage experimentation and originality. The plentiful images delight while they instruct beginners on perspective and foreshortening; depicting the figure in movement and through body language; portraying furniture and common objects; and defining a sense of place. Develop a good sense of composition, see how to come up with ideas, and put together an effective portfolio. An artist’s gallery presents a range of enjoyable professional work, including caricature and political satire, children’s cartoons, slice-of-life sequences, and more.</p>"
To Sea And Back,"['Shelton, Richard']","<p><b>Combining exquisite natural history with beguiling autobiographical and historical narrative,&nbsp;a portrait of a fish whose&nbsp;story is closely intertwined with our own</b></p>
<p>&nbsp;</p>
<p>The Atlantic salmon is an extraordinary and mysterious fish. Here, Richard Shelton combines memoir and deep scientific knowledge to reveal, from the salmon's point of view, both the riverine and marine worlds in which it lives. He explores this iconic fish's journey to reach its feeding grounds in the northern oceans before making the return over thousands of miles to the&nbsp;brooks of its birth to reproduce. Along the way, Shelton describes the feats of exploration that gave us our first real understanding of the oceans, and shows how this iconic fish is a vital indicator of the health of our rivers and oceans. Above all,&nbsp;this is the story of Richard Shelton's lifelong passion for the sea and his attempt to solve the perennial enigmas of the salmon's secret life.</p>"
The Real Life Downton Abbey: How Life Was Really Lived In Stately Homes A Century Ago,['Jacky Hyams'],"<p><b>Fans of Julian Fellowes' hit show&nbsp;can step&nbsp;back&nbsp;100 years to the world of the pampered, privileged upper classes and take a look at exactly what goes on behind the magisterial doors of their favorite stately home</b>&nbsp;Using the characters and setting of the popular television show as a point of reference for the reader, this is a closer&nbsp;look at the Edwardian&nbsp;period. They were the super rich of their times, pampered beyond belief—the early 20th century Edwardian gentry, who lived like superstars, their every desire or need catered to by an army of&nbsp;butlers, servants, footmen, housekeepers, and grooms.&nbsp;Class, money, inheritance, luxury, and snobbery dominated every aspect of the lives of the upper crust Edwardian family.&nbsp;While below stairs the staff inhabited a completely different world, their very lives dependent on servicing the rich, pandering to their masters' every whim, and rubbing shoulders with wealth and privilege. While privy to the most intimate and darkest secrets of their masters, they&nbsp;faced ruin and shame if they ventured to make the smallest step outside the boundaries of their class-ridden world. From manners and morals to etiquette and style, this book opens the doors to the reality of the era behind&nbsp;TV's favorite stately home.</p>"
The Faith Of The Faithless: Experiments In Political Theology,"['Critchley, Simon , 1960-']","<p><b>Investigation into the dangerous interdependence of politics and religion.</b></p>
<p>The return to religion has perhaps become the dominant cliché of contemporary theory, which rarely offers anything more than an exaggerated echo of a political reality dominated by religious war. Somehow, the secular age seems to have been replaced by a new era, where political action flows directly from metaphysical conflict. <b>The Faith of the Faithless</b> asks how we might respond. Following Critchley’s <b>Infinitely Demanding</b>, this new book builds on its philosophical and political framework, also venturing into the questions of faith, love, religion and violence. Should we defend a version of secularism and quietly accept the slide into a form of theism—or is there another way?</p>
<p>From Rousseau’s politics and religion to the return to St. Paul in Taubes, Agamben and Badiou, via explorations of politics and original sin in the work of Schmitt and John Gray, Critchley examines whether there can be a faith of the faithless, a belief for unbelievers. Expanding on his debate with Slavoj Žižek, Critchley concludes with a meditation on the question of violence, and the limits of non-violence.</p>"
Office 2013 In Easy Steps,['Michael Price'],"<p><b>Office 2013 in easy steps</b> will guide users through Microsoft’s latest version of Office, so they will soon master its new features. This new release works with touch, stylus, mouse or keyboard across Windows devices, including tablets. Sign in with a Microsoft ID and use the software across different platforms.</p>
<p><b>Office 2013 in easy steps</b> concentrates on the most useful and productive elements of Office 2013, covering the basics of Word, Excel, Outlook and PowerPoint. It also introduces other Office applications such as Access, OneNote, Publisher, InfoPath Designer &amp; Filter, and Lync.</p>
<p>Aimed at both new and experienced users, <b>Office 2013 in easy steps</b> covers the essential functions of MS Office in easy steps.</p>"
"Irregular Army: How The Us Military Recruited Neo-nazis, Gang Members, And Criminals To Fight The War On Terror",['Matt Kennard'],"<p><b>Reveals the US military’s “don’t ask, don’t tell” approach to extremists in its ranks.</b></p>
<p>Since the launch of the Afghanistan and Iraq wars—now the longest wars in American history—the US military has struggled to recruit troops. It has responded, as Matt Kennard’s explosive investigative report makes clear, by opening its doors to neo-Nazis, white supremacists, gang members, criminals of all stripes, the overweight, and the mentally ill. Based on several years of reporting, <b>Irregular Army</b> includes extensive interviews with extremist veterans and leaders of far-right hate groups—who spoke openly of their eagerness to have their followers acquire military training for a coming domestic race war. As a report commissioned by the Department of Defense itself put it, “Effectively, the military has a ‘don’t ask, don’t tell’ policy pertaining to extremism.”</p>
<p><b>Irregular Army</b> connects some of the War on Terror’s worst crimes to this opening-up of the US military. With millions of veterans now back in the US and domestic extremism on the rise, Kennard’s book is a stark warning about potential dangers facing Americans—from their own soldiers.</p>"
Man Of Steel: The Official Movie Novelization,['Greg Cox'],"<p><b>SUPERMAN IS BACK - THE OFFICIAL MOVIE NOVELIZATION!</b><br>
 &nbsp;<br>
 The film, from director Zack Snyder, stars Henry Cavill (<i>The Tudors</i>) as Superman/Clark Kent, three-time Oscar® nominee Amy Adams (<i>The Fighter</i>) as Daily Planet journalist Lois Lane, and Oscar® nominee Laurence Fishburne (<i>What's Love Got to Do with It</i>) as her editor-in-chief, Perry White. Starring as Clark Kent's adoptive parents, Martha and Jonathan Kent, are Oscar® nominee Diane Lane (<i>Unfaithful</i>) and Academy Award® winner Kevin Costner (<i>Dances with Wolves</i>).<br>
 &nbsp;<br>
 Squaring off against the superhero are two other surviving Kryptonians, the villainous General Zod, played by Oscar® nominee Michael Shannon (<i>Revolutionary Road</i>), and Faora, Zod's evil partner, played by Antje Traue. Also from Superman's native Krypton are Lara Lor-Van, Superman's mother, played by Ayelet Zurer, and Superman's father, Jor-El, portrayed by Academy Award® winner Russell Crowe (<i>Gladiator</i>).<br>
 &nbsp;<br>
 Rounding out the cast are Harry Lennix as U.S. military man General Swanwick, as well as Christopher Meloni as Colonel Hardy.<br>
 <i>&nbsp;</i><br>
 <i>Man of Steel</i> is being produced by Charles Roven, Christopher Nolan, Emma Thomas and Deborah Snyder. The screenplay was written by David S. Goyer, from a story by Goyer and Nolan, based upon characters appearing in comic books published by DC Comics. Superman created by Jerry Siegel and Joe Shuster. Thomas Tull and Lloyd Phillips are serving as executive producers.<br>
 &nbsp;<br>
 Currently in production, <i>Man of Steel</i> is slated for release on June 14, 2013 and will be distributed worldwide by Warner Bros. Pictures, a Warner Bros. Entertainment Company.<br>
 &nbsp;<br>
 TM &amp; © Warner Bros. Entertainment Inc. (s12)</p>"
Red (oberon Modern Plays),['John Logan'],"<p><b>WINNER OF SIX TONY AWARDS</b></p>
<p>A moving and compelling account of one of the greatest artists of the twentieth century, Mark Rothko, whose struggle to accept his growing riches and praise became his ultimate undoing.</p>"
"Athens To Athens: The Official History Of The Olympic Games And The Ioc, 1894-2004","['Miller, David , 1935-']","<p><i>Athens to Athens</i> is the definitive history of the Olympic Games and the International Olympic Committee (IOC), charting the re-creation of the Games by Pierre de Coubertin, the often tempestuous and controversial fortunes of the governing body, and all the highs and lows of the Games themselves. Here, too, are the stories of the competitors—from Spyridon Louis, Jim Thorpe, and Jessie Owens to Carl Lewis, Steve Redgrave, and Cathy Freeman. The twin evolutions of the IOC and the world’s greatest sports event unfold in alternate chapters,&nbsp;and include&nbsp;personal reminiscences by famous champions and&nbsp;notable IOC figures. The book also details the many crises, including the Nazi Games of 1936, the Israeli slaughter by terrorists in 1972, and the ongoing problems of commercialization and drug abuse. Journalist David Miller, who has covered 16 Olympic Games, is also the biographer of Juan Antonio Samaranch.</p>"
"Gods, demigods & demons: an encyclopedia of Greek mythology","['Evslin, Bernard.']","<p><i>Gods, Demigods and Demons</i> is a concise, yet wide-ranging handbook of Greek mythology that promises a vivid introduction to the great myths of ancient Greece. Here are the gods of the Olympian pantheon. Here too are the demigods, demons, heroes, and many of the best-loved (as well as lesser-known) cycles, fables and nature myths. The entries, always readable and informative, convey the significance of Greek mythology and its place at the core of Western culture. They evoke the majesty, as well as the all-too-human foibles, of the Greek deities and their acolytes. Whether they find themselves caught up by the single combat of Hector and Achilles before the looming walls of Troy; or find themselves transported, like Odysseus, by the haunting song of the Sirens; or are thrilled by the quest of Jason and his Argonauts for the fabled Golden Fleece - enthusiasts of myth and ancient history will discover many richnesses to enjoy here. <i>Gods, Demigods and Demons</i> is both a helpful guide and a one-stop resource that can be consulted again and again. It will prove an indispensable companion to the world of the ancient Greeks and the gods they worshipped.</p>"
Britain's Historic Ships: A Complete Guide To The Ships That Shaped The Nation,"['Brown, Paul , 1947 June 20-']","<p><i>Rule Britannia; Britannia rules the waves!</i> This lavish volume explores more than 50 celebrated and accessible historic British ships—including replicas. Covering everything from the Navy and Merchant Sail to passenger ships and coasters, it offers a comprehensive history of each vessel’s design, construction, active service, restoration, and preservation. In addition to the featured entries, an appendix presents all of the necessary contact details and opening times of the National Historic Ships Register. Principal vessels include: Mary Rose, HMS Victory, Cutty Sark, HMS Plymouth, Oberon class submarines (Ocelot, Onyx, and Otus), Thames barges, and more.</p>"
Upgrading and Fixing a PC in Easy Steps,['Stuart Yarnold'],"<p><i>Upgrading&nbsp;and Fixing a PC in Easy Steps</i> enables readers to keep their&nbsp;computers at the cutting-edge by explaining how to replace components&nbsp;and add new ones. Its simple, illustrated instructions and sidebars&nbsp;teach users to&nbsp;identify, locate, and install the relevant parts to make their PCs faster, more versatile, and more powerful. Both a learning tool and an investment, this guide even provides a money-saving tutorial on various buying options and a separate chapter on troubleshooting nasty problems.</p>"
F: Hu Feng's Prison Years,['Mei Zhi'],"<p><strong>China's first literary dissident's Kafkaesque journey through the prisons of the Cultural Revolution.</strong></p>
<p><strong>2013 English PEN Award winner</strong></p>
<p>Hu Feng, the ‘counterrevolutionary’ leader of a banned literary school, spent twenty-five years in the Chinese Communist Party’s prison system. But back in the Party’s early days, he was one of its best known literary theoreticians and critics—at least until factional infighting, and his short fuse, made him persona non grata among the establishment.</p>
<p>His wife, Mei Zhi, shared his incarceration for many years. <em>F</em> is her account of that time, beginning ten years after her and Hu Feng’s initial arrest. She herself was eventually released, after which she navigated the party’s Byzantine prison bureaucracy searching for his whereabouts. Having finally found him, she voluntarily returned to gaol to care for him in his rage and suffering, watching his descent into madness as the excesses of the Cultural Revolution took their toll.</p>
<p>Both an intimate portrait of Mei Zhi’s life with Hu Feng and a stark account of the prison system and life under Mao, <em>F</em> is at once beautiful and harrowing.</p>"
Narcoland: The Mexican Drug Lords And Their Godfathers,['Anabel Hernandez'],"<p><strong>Explosive, bestselling account of Mexico’s drug cartels and the government–business nexus that enables them.</strong></p>
<p>The product of five years of investigative reporting, the subject of intense national controversy, and the source of death threats that forced the National Human Rights Commission to assign two full-time bodyguards to Anabel Hernández, <em>The Lords of el Narco</em> has been a publishing and political sensation in Mexico.</p>
<p>The definitive history and anatomy of the drug cartels and the “war on drugs” that has cost more than 50,000 lives in just five years, the book explains in riveting detail how Mexico became a base for the mega-cartels of Latin America and one of the most violent places on the planet. Hernández reveals the complicity of Mexico’s government and business elite. At every turn, she names names—not just the <em>narcos</em> and their immediate accomplices, but also the politicians, policemen, functionaries, judges and entrepreneurs who have collaborated with them.</p>
<p>Hernández became a journalist after her father was kidnapped and killed and the police refused to investigate without a bribe. She gained national prominence in 2001 with her exposure of pharaonic spending on housekeeping at the presidential palace. All her previous books have also focused on corruption at the summit of power, under presidents Vicente Fox and Felipe Calderón.</p>"
"Film After Film: (or, What Became Of 21st Century Cinema?)",['J. Hoberman'],"<p><strong>How the digital turn and 9/11 have changed motion picture history.</strong></p>
<p>In this sly and thought-provoking volume, J. Hoberman turns an erudite eye to the study of twenty-first-century cinema and finds that, only a dozen years into the new millennium, the world of movies has already experienced a revolutionary transformation.</p>
<p>The advent of new digital technology has displaced the medium of photographic film—and, perhaps, the reality on which it once depended. With locations, sets and cameras now optional, the history of motion pictures has become the history of animation.</p>
<p>This sea change in filmmaking spanned the 2000 American presidential election and the trauma of 9/11, events that reshaped world politics and left an indelible imprint on the emerging aesthetic of the new century’s cinema. A rupture opened up in the evolution of film, presaging, as Susan Sontag forlornly predicted a few years earlier, the death of cinephilia, or at least cinephilia as we know it.</p>
<p>Witty and allusive, in the style of classic film theorist/critics such as André Bazin and Siegfried Kracauer, Film After Film expands on a much-discussed era-defining <em>Artforum</em> article by Hoberman before moving on to a chronicle of the Bush years in cinema (featuring reviews from Hoberman’s final decade at the <em>Village Voice</em>). The book concludes with considerations of the twenty-one central movies of the twenty-first century, which include works by Lars von Trier and Jia Zhangke as well as the hi-tech spectacles <em>WALL-E</em> and <em>Avatar</em>.</p>"
Encounters Of Sherlock Holmes,"['Mann', 'George']","<p>A brand-new collection of Sherlock Holmes stories from a variety of exciting voices in modern horror and steampunk, including James Lovegrove, Justin Richards, Paul Magrs, Guy Adams and Mark Hodder. Edited by respected anthologist George Mann, and including a story by Mann himself.</p>
<p>Introduction by George Mann&nbsp;<br>
The Loss of Chapter Twenty-One by Mark Hodder Holmes and the Indelicate Widow by Mags L Halliday The Demon Slasher of Seven Sisters by Cavan Scott The Post-Modern Prometheus by Nick Kyme Mrs Hudson at the Christmas Hotel by Paul Magrs The Case of the Night Crawler by George Mann The Adventure of the Locked Carriage by Stuart Douglas The Tragic Affair of the Martian Ambassador by Eric Brown The Adventure of the Swaddled Railwayman by Richard Dinnick &nbsp;<br>
The Pennyroyal Society by Kelly Hale The Persian Slipper by Steve Lockley The Property of a Thief by Mark Wright Woman’s Work by David Barnett The Fallen Financier by James Lovegrove</p>"
Complete Guide To Drawing Animals,['Gottfried Bammes'],"<p>A complete course, packed with instruction and profusely illustrated, this reference book provides expert guidance on all aspects of drawing animals, including size, proportion, perspective, anatomy, skeletal structure, and musculature. The guide provides numerous detailed diagrams for mastering specific techniques and forms, as well as for completing drawings in a range of styles and rendered in a variety of different media, including pencil, charcoal, pastels, and inks. A&nbsp;menagerie of animals are featured, from dogs, horses, and cats to tigers, elephants, camels, and apes, enabling artists to capture their essence.</p>"
A-z Of Botanical Flowers In Watercolour,['Michael Lakin'],"<p>A complete guide to botanical illustration—from dissection to framing work—this traditional teaching workbook is penned by Michael Lakin, a keen gardener and an experienced and enthusiastic tutor whose teaching methods follow&nbsp;simple, step-by-step, six-stage techniques. Stressing the importance of the sketching process, artists are shown how to develop accomplished pictures from initial beginnings and observations right through to the drawing and final painting stages. With an entire alphabet of flower examples accompanying sketches, this work provides clear descriptions of the colors and techniques used, allowing beginners and more advanced artists alike to find inspiration and a deeper understanding of how floral scenes are composed.</p>"
Batik,['Susie Stokoe'],"<p>A gallery of the finest work by contemporary designers provides further inspiration for the dyeing enthusiast, and represnts the enormously varied approaches and styles that can be achieved with the medium.</p>"
How To Create Light In Your Paintings: The Artist's Guide To Using Tone Effectively,['Tony Paul'],"<p>A professional artist uses his own and others' work to teach painters how to master the all-important aspect of light-how the eye perceives it and how to duplicate its effects. Lavishly illustrated with hundreds of images in six of the most popular media, from oil paint to egg tempera, this essential course demonstrates how to capture the glare of sun on water, the play of shadow on the human form, the soft glow of twilight, and the translucency of flowers. There's a thorough, easy-to-follow explanation of the key concept of ""tonal control,"" and hands-on instruction that comes complete with specialized diagrams (including color wheels, tonal scales, and color temperature charts), technical tips, and inspiring creative ideas.</p>"
Rock Climbing: A Practical Guide To Essential Skills: Techniques And Tips For Successful Climbing For Beginners,['Malcolm Creasey'],"<p>A step-by-step guide to safe practices in all aspects of the sport, from belaying and leading to abseiling, for both indoor and outdoor venues.</p>"
The Book Of Gilding,['Liz Wagstaff'],"<p>A stunning, inspirational and practical guide, this book explores contemporary approaches to this ancient art, revealing how to gild and enhance all manner of decorative items.</p>"
Rsn Esg: Canvaswork: Essential Stitch Guides (royal School Of Needlework Essential Stitch Guides),['Rachel Doyle'],"<p>Accessible and easy-to-follow, this expert guide to canvaswork includes complete information on the major stitches while offering stunning new design ideas. Here readers will find diagonal stitches, horizontal and vertical stitches, raised, textured, and filling stitches. Decorative effects are explored too, making this a fantastic source book and an invaluable reference for canvaswork stitches.</p>"
The Stitching Book: A Step-by-step Guide To Surface Stitching Techniques,"['Patricia Bage', 'Jill Carter', 'Ruth Chamberlin', 'Kay And Michael Dennis', 'Clare Hanham']","<p>Aimed at absolute beginners as well as those wishing to explore new areas or to develop their existing skills, this omnibus is a must-have reference for anyone interested in stitching and embroidery.&nbsp;Providing&nbsp;complete coverage of traditional stitching techniques, including drawn thread work, hardanger, goldwork, stumpwork, silk shading, crewel work, mountmellick, and blackwork, each section is written by an expert in a particular discipline and explains the history of the technique, the materials and equipment required, and the most popular stitches used. All of the hands-on projects are buttressed with beautiful illustrations and examples of the authors' work as well as photographs and diagrams of the methods used. This contemporary book is the perfect choice for anyone whose interest in stitching has been reawakened by current trends in home sewing and wishes to make beautiful hand-embroidered items for their home.</p>"
How To Draw Buildings: A Step-by-step Guide For Beginners With 10 Projects,['Ian Sidaway'],"<p>Aimed at absolute beginners, this essential guide provides the technical tricks of the trade—the “building blocks”—needed to portray structures from country churches to city skylines. All it takes is 10 easy and fully illustrated lessons to master linear perspective, proportion, and composition, and to capture the texture of materials such as brick, stone, concrete, wood, glass, and steel. Draw a simple weathered wooden bungalow using graphite pencil. An old-fashioned church, with corner lines that converge at 2 vanishing points and different elevations, makes the perfect subject for illustrating 2-point perspective. Bring color into the picture in an image of a brightly painted Italian fishing cottage. Other demonstrations focus on architectural details, combining tools and techniques, and more.</p>"
Pastel Painting Step-by-step,"['Margaret Evans', 'Paul Hardy', 'Peter Coombs']","<p>All soft pastel painting enthusiasts will benefit from this in-depth instruction manual from three respected and well-loved pastel artists. Starting with advice on materials, it moves on to pastel basics such as color mixing, adding water to pastels, blending, adding tone, and using a limited palette. There are sections that include landscape painting with advice on composition and painting trees and water, how to capture light in pastels, and how to paint flowers. Throughout, the art of painting in pastels is taught through 13 beautiful, easy-to-follow projects; each section is accompanied by step-by-step photographs and instructions and a selection of inspirational paintings&nbsp;in a rich variety of styles by the three featured artists.</p>"
Drawing & Painting Horses,['Eva Dutton'],"<p>Appealing to&nbsp;budding artists and horse lovers alike, this collection of five rousing, step-by-step projects applies various mediums—from graphite and ink to watercolor, gouache, and acrylic—to&nbsp;re-create equestrian subjects. This guide begins with simple drawing exercises that study horse head and neck details—first experimenting with scribbles and&nbsp;basic shape&nbsp;drawings and evolving these images into more refined works that reveal shadow, tone, and movement.&nbsp;Painting projects&nbsp;emphasize color and technique to achieve the realistic texture of a horse’s coat and other markings. More challenging subjects include a horse cantering through water and an inspiring herd of mustangs in the wild. Providing reassuring advice along the way, instructor Eva Dutton encourages confident artists to move beyond step-by-step exercises and offers additional guidance about finding new inspiration, drawing from life, and discovering&nbsp;reference materials.</p>"
The man of fifty,"['Goethe, Johann Wolfgang Von , 1749-1832']","<p>Arriving at the family manor, the Major scarcely recognizes his tall, elegant niece as she rushes out to greet him. Surprise soon turns to satisfaction as he learns that she has confessed to being in love with him—and he a 50-year-old man! Instantly turning his attention to his appearance, he determines to transform himself into a suitable lover for a young girl. But he must also make his confession to his son, for whom his niece was originally promised. Rather conveniently, however, his son has also succumbed to love—and with an older woman. All would seem to be well—until the new-look Major meets his son’s paramour. Author of <i>Faust</i> and <i>The Sorrows of Young Werther,</i> Johann Wolfgang von Goethe is regarded as the founder of modern German literature.</p>"
Shanyi Goes to China,['Sungwan So'],"<p>Arriving first on the island of Hong Kong, Shanyi goes by train to Panyu in mainland China to see where her grandmother was born, visits her familyâs 700-year-old ancestral hall, and embarks on a busy schedule of sightseeing, meeting relations, eating, and shopping. From red bean pie to lunar calendars, from firecrackers to dragons, she learns about the Chinese way of life and returns home delighted at having reconnected with the land of her grandparents. Sungwan So records Shanyiâs adventures in a land at once new and old with colorful, detailed images and engaging text.</p>"
