title,authors,overview
Arlington National Cemetery: Shrine to America's Heroes,James Edward Peters,"<b>Arlington National Cemetery</b>is America's most treasured national burial ground, steeped in history and the site of many of our most solemn national memories. Much has transpired for America in the last several years since the definitive guide, Arlington National Cemetery: Shrine to America's Heroes was published. Now revised, the updated 25th Anniversary Edition provides complete coverage of this remarkable shrine, reflects recent events, and offers new material on:<p>People: Senator Ted Kennedy, Chief Justice William Rhenquist, Tuskegee Airmen, Iraqi War casualities, and the Columbia Shuttle astronauts<br>Monuments: September 11 Memorial, Air Force Memorial, 3rd Infantry &amp; 4th Infantry Memorials, and numerous trees designated as Living Monuments<br>Visitors Guide: Burial Regulations and Religious Symbols</p><p>Also included are several new photos featuring new memorials--for example, the Correspondents Memorial and Columbarium--plus updated maps.</p><p>Written in close cooperation with cemetery staff, the National Park Service, and Arlington House, the third edition of <b>Arlington National Cemetery</b>is arguably the most comprehensive guide to this cherished place, where lie both the famous--admirals, generals, presidents, Supreme Court justices, and astronauts; and the not-so-famous--enlisted men, nurses, and unknown slaves. Peters details the history of the cemetery's inception and development and presents more than 100 biographies of some of the most celebrated people buried there.</p><p>Enjoy this terrific guide for its coverage of unique and important aspects of American history, or use it to prepare for a trip to <b>Arlington National Cemetery</b>and orient yourself while there. Makes a perfect gift for travelers and history buffs!</p>                        <p>Peters has done a terrific service to both travelers and history buffs...An engrossing account...For all libraries.--American Library Association Booklist</p>"
Gmat Data Sufficiency Prep Course,Derrick Vaughn,"<b>Comprehensive Prep for GMAT Data Sufficiency.</b> 
<p>Every year, students pay $1,000 and more to test prep companies to prepare for the math section of the GMAT. Now you can get the same preparation in a book.</p>
<p>Although data sufficiency problems are difficult, they are very learnable. GMAT Data Sufficiency Prep Course presents a thorough analysis of GMAT math and introduces numerous analytic techniques that will help you immensely, not only on the GMAT but in business school as well.</p>
<p>Features:</p>
<p><b>Comprehensive Review:</b> Twenty-four chapters provide the most thorough review of data sufficiency math available.</p>
<p><b>Practice:</b> Includes 196 examples and more than 205 exercises!</p>
<p><b>Performance:</b> If your target is a 700+ score, this is the book!</p>"
Hiding Edith (holocaust Remembrance Series),Kathy Kacer,"<em>Hiding Edith</em> tells the true story of Edith Schwalb, a young Jewish Girl sent to live in a safe house after the Nazi invasion of France. Edith's story is remarkable not only for her own bravery, but for the bravery of those that helped her: an entire village, including its mayor and citizenry, heroically conspired to conceal the presence of hundreds of Jewish children who lived in the safe house. The children went to the local school, roamed the streets and ate good food, all withot having to worry about concealing their Jewish identity. And during Nazi raids, the children camped out until the coast was clear.
<p>Intensively researched and sensitively written, this book, illustrated with photographs and maps, both comforts and challenges a young reader's spirit, skillfully addressing both the horrors and hope that children experienced during the Holocaust.</p>"
Tattoo History A Source Book,Steve Gilbert,"<i><b>The Tattoo History Source Book</b></i> is an exhaustingly thorough, lavishly illustrated collection of historical records of tattooing throughout the world, from ancient times to the present. Collected together in one place, for the first time, are texts by explorers, journalists, physicians, psychiatrists, anthropologists, scholars, novelists, criminologists, and tattoo artists. <p>A brief essay by Gilbert sets each chapter in an historical context. Topics covered include the first written records of tattooing by Greek and Roman authors; the dispersal of tattoo designs and techniques throughout Polynesia; the discovery of Polynesian tattooing by European explorers; Japanese tattooing; the first 19th-century European and American tattoo artists; tattooed British royalty; the invention of the tattooing machine; and tattooing in the circus.</p><p>The anthology concludes with essays by four prominent contemporary tattoo artists: Tricia Allen, Chuck Eldridge, Lyle Tuttle, and Don Ed Hardy. The references at the end of each section will provide an introduction to the extensive literature that has been inspired by the ancient-but-neglected art of tattooing. Because of its broad historical context, <b><i>The Tattoo History Source Book</i></b> will be of interest to the general reader as well as art historians, tattoo fans, neurasthenics, hebephrenics, and cyclothemics.</p>"
A course in Miracles : Combined Volume,Foundation for Inner Peace,"<i>A Course in Miracles</i> is a complete self-study spiritual thought system. As a three-volume curriculum consisting of a <i>Text</i>, <i>Workbook for Students</i>, and <i>Manual for Teachers</i>, it teaches that the way to universal love and peace-or remembering God-is by undoing guilt through forgiving others. The Course thus focuses on the healing of relationships and making them holy. <i>A Course in Miracles</i> also emphasizes that it is but one version of the universal curriculum, of which there are many thousands. Consequently, even though the language of the Course is that of traditional Christianity, it expresses a non-sectarian, non-denominational spirituality. <i>A Course in Miracles</i> therefore is a universal spiritual teaching, not a religion.<br><br> The Text presents the theory of the Course and has built into its study the development of the <i>experience</i> of forgiveness that is the Course's goal for the student. In this regard, <i>A Course in Miracles</i> states that its goal for you is happiness and peace. (Text, p. 241) (T-13.II.7:1) The Text also explains the basis for fear and guilt, and how they can be overcome through miracles, which are defined as maximal expressions of love. Miracles are also defined as the shift in perception from fear to love. <p>The Workbook for Students consists of 365 lessons, an exercise for each day of the year. This one-year training program <i>begins</i> the process of changing the student's mind and perception, though it is not intended to bring one's learning to completion. As stated in the Preface to the Course, At the end, the reader is left in the hands of his or her own Internal Teacher, Who will direct all subsequent learning as He sees fit. (Preface: ix)</p><p>The Manual for Teachers is written in question-and-answer form and provides answers to some of the more likely questions a student might ask. It also includes clarification of a number of terms the Course uses, explaining them within the theoretical framework of the Text and for their practical application through the Workbook.</p><p><i>A Course in Miracles</i> was scribed by Dr. Helen Schucman through a process of inner dictation she identified as coming from Jesus. A clinical and research psychologist and tenured Associate Professor of Medical Psychology, she was assisted by Dr. William Thetford, her department head, who was also a tenured Professor of Medical Psychology at the Medical Center where they both worked.</p><p><i>A Course in Miracles</i> was first published in 1975, the year Dr. Schucman assigned copyright of the Course to the Foundation for Inner Peace (FIP). Since the beginning and as designated, this Foundation has been its publisher, disseminator, and copyright/trademark holder, although in 1999 it assigned the copyright and trademark to the Foundation for <i>A Course in Miracles</i> (FACIM). There are currently about one and a half million copies of the Course in circulation worldwide. Translations in Chinese, Dutch, German, Hebrew, Italian, Portuguese, Russian, and Spanish are also available, with twelve other translations now in progress.</p><p>What exactly, then, is <i>A Course in Miracles</i>? The summary introduction, which appears in its Text, is quite succinct and brief. It reads:</p><blockquote><p>This is a course in miracles. It is a required course. Only the time you take it is voluntary. Free will does not mean that you can establish the curriculum. It means only that you can elect what you want to take at a given time. The course does not aim at teaching the meaning of love, for that is beyond what can be taught. It does aim, however, at removing the blocks to the awareness of love's presence, which is your natural inheritance. The opposite of love is fear, but what is all-encompassing can have no opposite.</p><p>This course can therefore be summed up very simply in this way:</p><p class=null1>Nothing real can be threatened.<br> Nothing unreal exists.</p><p>Herein lies the peace of God.</p></blockquote>"
Everybody's Autobiography,Gertrude Stein,"<i>Everybody's Autobiography is among the very best of Gertrude's writing—it] speaks with the true and original voice of Gertrude Stein, without apparent art or bravado. —Janet Hobhouse</i>~In 1937, Gertrude Stein wrote a sequel to <i>The Autobiography of Alice B. Toklas</i>, but this darker and more complex work was long misunderstood and neglected. An account of her experiences as a result of writing a bestseller, <i>Everybody's Autobiography</i> is as funny and engaging as <i>The Autobiography of Alice B. Toklas</i>, but it is also a searing meditation on the meaning of success and identity in America. Posing as the representative American, Stein transforms her story into history—responding to the tradition of Thoreau and Henry Adams, she writes: ""I used to be fond of saying that America, which was supposed to be a land of success, was a land of failure. Most of the great men in America had a long life of early failure and a long life of later failure."" <i>Everybody's Autobiography</i> is Stein at her most accessible and her most serious, and may yet prove to be among her most popular books."
Impressionists By The Sea,"John House', 'David Hopkins","<i>Impressionists by the Sea</i> accompanies a joyous summer exhibition of the same name at the Royal Academy of Arts, London. Through some sixty popular Impressionist works, coauthor John House considers the pictorial representation of the seaside during the 19th century, when the coastline of northern France was transformed from a fishing center into a popular vacation spot. <br>
<br>
This handsomely produced book reveals how painting developed in tandem with social and economic changes. House shows how painters initially cast the coastline in a romantic role, focusing on the evocation of the sublime force of nature and the picturesque display of local fishermen, but by the early 1860s&amp;#151at the moment the resorts of Deauville and Trouville were coming into vogue&amp;#151painters such as Boudin, Manet, and Monet were capturing vacationers in all their relaxed glory. <br>
<br>
EXHIBITION SCHEDULE: <br>
<br>
Royal Academy of Arts, London, July 7-September 30, 2007<br>
Phillips Collection, Washington DC, October 20-July 13, 2008<br>
Wadsworth Atheneum, Hartford, February 9-May 11, 2008"
Italy Dish By Dish: A Comprehensive Guide To Eating In Italy,Monica Sartoni Cesari,"<i>Italy Dish by Dish</i> describes more than 3,000 dishes you’ll find throughout every region of Italy. Even if you speak fluent Italian, regional terms for food and dishes can be confusing. No longer—with this translator you’ll know exactly what’s on the menu, how it’s cooked, what ingredients it contains, and how it fits into la cucina italiana. Lovers of good food and Italian culture will find this guide an irresistible and indispensable stew of culinary information, definitions, and local lore. And any cook will soon realize that the detailed descriptions of hundreds of dishes also serve as mini recipes that can easily be followed to create hundreds of authentic meals at home."
"Lost History: Contras, Cocaine, The Press & 'project Truth'",Robert Parry,"<i>Lost History</i> is a kind of All the President's Men, in reverse. It tells the inside story of how reporters uncovered the Iran-contra scandal and paid dearly with their careers. More broadly, the book explains how the vaunted Watergate press corps of the 1970s changed into the tabloidish Monica Lewinsky press corps of the 1990s -- and how much of this era's most important history has been ""lost.""
<p class=""null1"">About the Author:</p>
<p>Robert Parry, a 22-year veteran of Washington journalism, broke many of the stories now known as the Iran-Contra Affair, including the first story about Oliver North's secret contra-support operation and first story about Nicaraguan contra drug trafficking. His career with the Associated Press, Newsweek and PBS's Frontline program has taken Parry to hot spots all over the world, from Iran to Central America. He now edits the investigative publication, iF Magazine, and the Internet magazine, Consortiumnews.com</p>"
"Southern California In The '50s: Sun, Fun And Fantasy",Charles Phoenix,"<i>Southern California in the '50s: Sun, Fun and Fantasy</i>— a treasury of retro car culture, space age style, suburbia, Hollywood, mountain, desert and seaside resorts, and America's favorite amusement parks. In the 1950s, Southern California was the place to be. The mood was up, prosperity ruled, and the standard of living was high. It was the land of plenty for a new generation of movers and shakers who reinvented the way America would live. Filled with colorful memorabilia, never-before-published vintage photos, and carefully researched historical text, this coffee table book covers the phenomenon of the space-age promised land—L.A. and beyond—and the society that created a cultural explosion. See and read about how Southern Calfornians lived, where they worked, how they played and the way they got around. In these pages readers wll cruise in hot rods to the drive-in theater, learn how McDonald's inspired a fast-food revolution, and see the suburban spread of stylish tract homes, supermarkets, coffee shops, bowling alleys and shopping centers. Anyone who loves pop culture will relish every color-filled page of <i>Southern Caifornia in the '50s.</i>"
Big Smelly Bear,Britta Teckentrup,"<i>Splish, splash-who needs a bath?<br>
BIG SMELLY BEAR!</i><br>
&nbsp;<br>
It's never bath time for Big Smelly Bear: his smell is simply unBEARable! Then, one day, he wakes with an awful, unreachable itch. He could use a scratch from a friend, but he stinks so much that no one will help! Will Big Smelly Bear change his ways and bathe? Kids will love this lighthearted tale about keeping clean-and really relate to the bath-resistant adorable hero. <br>"
Red Snow,Susumu Katsumata,"<p class=""null1"">AN AWARD-WINNING BOOK FROM A LEGENDARY MANGA-KA</p>
<p>Continuing D+Q’s groundbreaking exploration of the fascinating world of <i>Gekiga</i>, this collection of short stories is drawn with great delicacy and told with subtle nuance by the legendary Japanese artist Susumu Katsumata. The setting is the premodern Japanese countryside of the author’s youth, a slightlymagical world where ancestral traditions hold sway over a people in the full vigor of life, struggling to survive the harsh seasons and the difficult life of manual laborers and farmers. While the world they inhabit has faded into memory and myth, the universal fundamental emotions of the human heart prevail at the center of these tender stories.</p>
<p>Katsumata began publishing comic strips in the legendary avantgarde magazine <i>Garo</i> (which also published his contemporaries Yoshihiro Tatsumi and Yoshiharu Tsuge) in 1965 while enrolled in the Faculty of Science in Tokyo. He abandoned his studies in 1971 to become a professional comics artist, alternating the short humorous strips upon which he built his reputation with stories of a more personal nature in which he tenderly depicted the lives of peasants and farmers from his native region. In 2006, Katsumata won the 35th Japanese Cartoonists Association Award Grand Prize for <i>Red Snow</i>.</p>"
Simple Boat Maintenance: Diy For Yachts And Motorboats Colour Edition,Pat Manley,"<p class=""null1"">Colour photo-sequences and clear text show even a ham-fisted beginner how to fix their boat.</p>
<p>The two aims of this book are <b><i>preventing</i></b> problems and <b><i>curing</i></b> them when they do happen (even at sea). This is the best-illustrated book ever produced on maintenance and Manley has spent over a year photographing each stage of each topic. These include:</p>
<ul>
<li>Engine&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</li>
<li>Stern Gear</li>
<li>Water System</li>
<li>Gas System</li>
<li>Heads</li>
<li>Electrical System</li>
<li>Fuel System</li>
<li>Steering</li>
<li>Winches</li>
<li>Fibreglass</li>
<li>Deck Hardware</li>
<li>Leaks</li>
<li>Inflatable dinghy</li>
<li>Tools</li>
</ul>"
King-cat Classix,John Porcellino,"<p class=""null1"">The definitive collection of the influential comic zine</p>
<p>John Porcellino has long been considered the greatest of all cartoonists coming from the self-publishing and zine movement of the early '90s. His spare approach with words and pictures focuses on the smallest of details, revealing a wealth of meaning and emotion in everyday events that most of us overlook in our daily hustle and bustle. Since 1989, he has released more than sixty-five issues of his self-published comic <i>King-Cat Comics and Stories</i>. This large collection focuses on the first fifty issues, with extensive endnotes and an index, along with selections of all the extra ephemera that makes an individual issue of <i>King-Cat</i> its own unique experience—essays, articles, stories, and letters from friends. Included are more than two hundred and fifty pages of comics, ranging from Porcellino's earliest scrawls to his later, perfectly minimalist delineations. The comics range through all of his concerns—family, family pets, the natural world, work, music, romance. This book presents an artist who always knew what he wanted to do. <i>King-Cat Classics</i> shows Porcellino's confidence and skill as it grows steadily through the past fifteen years.</p>"
A Drifting Life,Yoshihiro Tatsumi,"<p class=""null1"">The epic autobiography of a manga master</p>
<p>Acclaimed for his visionary short-story collections <i>The Push Man and Other Stories</i>, <i>Abandon the Old in Tokyo</i>, and <i>Good-Bye</i>—originally created nearly forty years ago, but just as resonant now as ever—the legendary Japanese cartoonist Yoshihiro Tatsumi has come to be recognized in North America as a precursor of today’s graphic novel movement. <i>A Drifting Life</i> is his monumental memoir eleven years in the making, beginning with his experiences as a child in Osaka, growing up as part of a country burdened by the shadows of World War II.</p>
<p>Spanning fifteen years from August 1945 to June 1960, Tatsumi’s stand-in protagonist, Hiroshi, faces his father’s financial burdens and his parents’ failing marriage, his jealous brother’s deteriorating health, and the innumerable pitfalls that await him in the competitive manga market of mid-twentieth-century Japan. He dreams of following in the considerable footsteps of his idol, the manga artist Osamu Tezuka (<i>Astro Boy</i>, <i>Apollo’s Song</i>, <i>Ode to Kirihito</i>, <i>Buddha</i>)—with whom Tatsumi eventually became a peer and, at times, a stylistic rival. As with his short-story collection, <i>A Drifting Life</i> is designed by Adrian Tomine.</p>


                        <p><b>Winner of the 2010 Eisner Award for Best Reality-Based Work and for Best U.S. Edition of International Material - Asia</b>
</p>"
Berlin Book Two: City Of Smoke (bk. 2),Jason Lutes,"<p class=""null1"">The second installment of the epic historical trilogy</p>
<p>The second volume of Jason Lutes’s historical epic finds the people of Weimar Berlin searching for answers after the lethal May Day demonstration of 1929. Tension builds along with the dividing wall between communists and nationalists, Jews and Gentiles, as the dawn of the Second World War draws closer. Meanwhile, the nightlife of Berlin heats up as many attempt to distract themselves from the political upheavals within the city. The American jazz band Cocoa Kids arrives and quickly becomes a fixture. The lives of the characters within Lutes’s epic weave together to create a seamless portrait of this transitory city. Marthe Muller follows her lover Kurt Severing as he interviews participants in the May Day demonstration, but she moonlights in the city’s lesbian nightlife.Severing acts as a window through which the political shifts within the city and its participants can be seen. As with <i>Berlin Book One: City</i></p>"
Style Me Vintage: Hair: Easy Step-by-step Techniques For Creating Classic Hairstyles,Belinda Hay,"<p class=""null1"">Whether&nbsp;the&nbsp;aim is to&nbsp;look like Rita Hayworth, Veronica Lake, or Brigitte Bardot, this retro-gorgeous tome&nbsp;provides everything needed to create authentic hairdos</p>
<p>&nbsp;</p>
<p>Filled with step-by-step instructions, tips, techniques, and detailed photographs, this resource&nbsp;to recreating&nbsp;hairstyles from the 1930s to the 1960s puts retro glamour right&nbsp;at readers' fingertips. It outlines essential equipment, and offers photos of each step of the process. It also offers photos of&nbsp;a&nbsp;classic&nbsp;icon showcasing each&nbsp;style as well as&nbsp;a popular contemporary&nbsp;recreation of the&nbsp;look—such as Marlene Dietrich's and Christina Aguilera's takes on finger waves, or the bouffants of both&nbsp;Jackie Kennedy and Joan Holloway. Whether for a special party or event, a night out, or just for fun, this must-have book&nbsp;breaks down the steps to&nbsp;recreating the decadence and fun of vintage styles, and is filled with inspirational images and tips on make-up and accessories.</p>"
Zen In The Art Of Writing: Essays On Creativity,Ray Bradbury,"<p>""Bradbury, all charged up, drunk on life, joyous with writing, puts together nine past essays on writing and creativity and discharges every ounce of zest and gusto in him.""--<i>Kirkus Reviews</i> ¶""<i>Zen and the Art of Writing</i> is purely and simply Bradbury's love song to his craft.""--<i>Los Angeles Times</i></p>"
The Presence Process: A Journey Into Present Moment Awareness,Michael Brown,"<p>""Personal peace is not given to us by others - it arises through our response to ourselves.""</p>
<p>Today we all face an increasing flow of events about which we may feel we can do nothing. This is not true. It is crucial we now experientially realize we are each responsible for navigating the quality of our personal experience. This book teaches us how to embrace authentic personal responsibility. It reveals the mechanics shaping the way we feel about our life and how we manifest our experience in a manner that empowers us to respond consciously to every facet of our lives. It offers a simple, practical approach to accomplishing and maintaining personal peace in the midst of accelerating change, discomfort, conflict, and chaos.</p>"
Bird Boxes And Feeders For The Garden,Dave Mackenzie,"<p>""Presented here in enthusiastic fashion are detailed instructions and step-by-step illustrations for constructing an assortment of nesting boxes, bird feeders, bird tables on stands, birdbaths, decoy ducks, dovecotes, garden aviaries, guinea pig hutches, bat boxes, and hedgehog shelters. An introductory chapter offers data on what types of wood, wood screws, nails, staples, adhesives, paints, brushes, and roof coverings to use. There are tips on tools and techniques and information on birds' favorite food and habitat. There are 168 pages in color and 100 black-and-white illustrations.""—<i>Booklist</i>.</p>"
"Hagar before the occupation, Hagar after the occupation: poems","Jubūrī, Amal.","<p>""Through these poems, Amal al-Jubouri connects us to the earliest known poems, and yet the dialectic tension between them is utterly contemporary. Al-Jubouri writes 'This is my protest, this is my folly,' yet these poems are neither simple protest nor in any sense folly. These poems are both essential and eternal.""—Nick Flynn</p>
<p>This translation of Iraqi author Amal al-Jubouri contextualizes America's occupation of Iraq through the Qur'an's story of Hagar. Complementary pairs of poems portray life before and after the war. This work simultaneously mirrors Hagar's desperate running between Safa and Marwah, as we pace frantically between pre- and post-occupation Iraq—the poet begging in vain for poetry not to abandon her people.</p>
<p class=""null1"">Honor before the occupation</p>
<p class=""null2"">Worship the Leader Love the Party Curse America, the siege</p>
<p class=""null2"">~</p>
<p class=""null1"">Honor after the occupation</p>
<p class=""null2"">Curse the Dictator Forsake the Party Clap with flowers in your hand for America, her wall</p>
<p><b>Amal al-Jubouri</b>, a native of Iraq, is the author of five collections of poetry including <i>Wine from Wounds</i>; <i>Words, Set Me Free!</i>; <i>Enheduanna</i>, <i>Priestess of Exile</i>; and <i>99 Veils</i>. In 1997 she took asylum in Germany after having been listed first on Uday Hussein's list of renegade Iraqi writers and was the first Iraqi writer to return to Baghdad, two days after the fall of the regime. The founder and editor-in-chief of <i>al-Diwan</i>, the first and only Arab-German literary magazine, she is president of the East-West Diwan German Cultural Foundation and acts as cultural counselor for the Yemen Embassy in Berlin.</p>"
