,id,origin,title,author,description,full_entry
16,16,Canadian,2Instruction Manual for Swallowing,Adam Marek,"Exploring what happens when ordinary people collide with bizarre, fantastical situations, this collection of 14 short stories presents an engaging new voice in ...","2Instruction Manual for Swallowing by Adam Marek: Exploring what happens when ordinary people collide with bizarre, fantastical situations, this collection of 14 short stories presents an engaging new voice in ..."
17,17,Canadian,419,Will Ferguson,"From internationally bestselling travel writer Will Ferguson, author of Happiness™ and Spanish Fly, comes a novel both epic in its sweep and intimate in its ...","419 by Will Ferguson: From internationally bestselling travel writer Will Ferguson, author of Happiness™ and Spanish Fly, comes a novel both epic in its sweep and intimate in its ..."
18,18,Canadian,47 Sorrows,Janet Kellough,"In this third novel in the series, Thaddeus Lewis and his son journey into the heart of disaster.When the bloated corpse of a man dressed in women’s clothing ...","47 Sorrows by Janet Kellough: In this third novel in the series, Thaddeus Lewis and his son journey into the heart of disaster.When the bloated corpse of a man dressed in women’s clothing ..."
19,19,Canadian,5000 Dead Ducks,CD Evans,"Set in the fictional land of Alberia, 5000 Dead Ducks is about Mavis Wong, an enviro-science graduate who finds herself teamed up with a group of unscrupulous ...","5000 Dead Ducks by CD Evans: Set in the fictional land of Alberia, 5000 Dead Ducks is about Mavis Wong, an enviro-science graduate who finds herself teamed up with a group of unscrupulous ..."
20,20,Canadian,59 Glass Bridges,Steven Peters,"In 59 Glass Bridges, an unnamed narrator travels through a maze that is at once mutable and immutable: walls fall to vine-filled forests, hallways to rivers, ...","59 Glass Bridges by Steven Peters: In 59 Glass Bridges, an unnamed narrator travels through a maze that is at once mutable and immutable: walls fall to vine-filled forests, hallways to rivers, ..."
21,21,Canadian,74 Miles Away,J.D. Carpenter,"Long-listed for the 2009 ReLit Award Because business is slow for retired homicide detective Campbell Young’s new enterprise, A-1 Investigative ...","74 Miles Away by J.D. Carpenter: Long-listed for the 2009 ReLit Award Because business is slow for retired homicide detective Campbell Young’s new enterprise, A-1 Investigative ..."
22,22,Canadian,7 Good Reasons Not To Be Good,John Gould,"Seven Good Reasons Not to Be Good opens with a cryptic postcard from forty-something Matt to his oldest friend, Zane. Zane is dying -- for &quot;good&quot; -- but Matt's ...","7 Good Reasons Not To Be Good by John Gould: Seven Good Reasons Not to Be Good opens with a cryptic postcard from forty-something Matt to his oldest friend, Zane. Zane is dying -- for &quot;good&quot; -- but Matt's ..."
23,23,Canadian,7 Ways to Sunday,Lee Kvern,Lee Kvern's much-anticipated new collection contains stories which revolve around humanity in all its flawed glory: an artist's girlfriend dies by mistake; a ...,7 Ways to Sunday by Lee Kvern: Lee Kvern's much-anticipated new collection contains stories which revolve around humanity in all its flawed glory: an artist's girlfriend dies by mistake; a ...
24,24,Canadian,88,Michael Fletcher,"The dream of Artificial Intelligence is dead and the human mind is now the ultimate processing machine. Demand is high, but few are willing to sacrifice their ...","88 by Michael Fletcher: The dream of Artificial Intelligence is dead and the human mind is now the ultimate processing machine. Demand is high, but few are willing to sacrifice their ..."
25,25,Canadian,8 X 10,Michael Turner,"Shockingly original and intensely intelligent, 8 × 10 is a series of snapshots of a world torn apart by war and migration.Fearless in form, Michael Turner’s ...","8 X 10 by Michael Turner: Shockingly original and intensely intelligent, 8 × 10 is a series of snapshots of a world torn apart by war and migration.Fearless in form, Michael Turner’s ..."
26,26,Canadian,Étienne's Alphabet,James King,"To all who knew him, Étienne Morneau lived unremarkably. Raised in an orphanage, his parents unknown, people considered him reserved, unfeeling, and ...","Étienne's Alphabet by James King: To all who knew him, Étienne Morneau lived unremarkably. Raised in an orphanage, his parents unknown, people considered him reserved, unfeeling, and ..."
27,27,Canadian,A,André Alexis,"A is a work of fiction in which André Alexis presents the compelling narrative of Alexander Baddeley, a Toronto book reviewer obsessed with the work of the ...","A by André Alexis: A is a work of fiction in which André Alexis presents the compelling narrative of Alexander Baddeley, a Toronto book reviewer obsessed with the work of the ..."
28,28,Canadian,Aaron,Yves Theriault,"W. Donald Wilson and Paul G. Socken’s translation of Aaron, by Québécois author Yves Thériault, makes this fine novel available in English for the first ...","Aaron by Yves Theriault: W. Donald Wilson and Paul G. Socken’s translation of Aaron, by Québécois author Yves Thériault, makes this fine novel available in English for the first ..."
29,29,Canadian,A Baby by Easter & A Family for Summer,Lois Richer,Author Lois Richer brings you two stories of love and faithA Baby by Easter Susannah Wells and her unborn baby have nowhere to turn. So when she encounters ...,A Baby by Easter & A Family for Summer by Lois Richer: Author Lois Richer brings you two stories of love and faithA Baby by Easter Susannah Wells and her unborn baby have nowhere to turn. So when she encounters ...
30,30,Canadian,A Baby for Christmas,Linda Ford,"From Pregnant Widow to Cowboy's Bride&nbsp;For widow Louise Porter, a temporary marriage to cowboy Nate Hawkins seems the only solution to protect her unborn child. ...","A Baby for Christmas by Linda Ford: From Pregnant Widow to Cowboy's Bride&nbsp;For widow Louise Porter, a temporary marriage to cowboy Nate Hawkins seems the only solution to protect her unborn child. ..."
31,31,Canadian,A Bargain with the Boss,Barbara Dunlop,"With her boss, it's all work and all pleasure! Only from New York Times bestselling author Barbara Dunlop!&nbsp;For years, Tuck Tucker has played the role of ...","A Bargain with the Boss by Barbara Dunlop: With her boss, it's all work and all pleasure! Only from New York Times bestselling author Barbara Dunlop!&nbsp;For years, Tuck Tucker has played the role of ..."
32,32,Canadian,Abattoir Blues,Peter Robinson,"Canada's premier, bestselling crime fiction writer, Peter Robinson gets better and better. The twenty-second book in the much-loved Inspector Banks series -- ...","Abattoir Blues by Peter Robinson: Canada's premier, bestselling crime fiction writer, Peter Robinson gets better and better. The twenty-second book in the much-loved Inspector Banks series -- ..."
33,33,Canadian,Abby's Journey,Steena Holmes,"Twenty-year-old Abigail Turner has only known her mother, Claire—who died shortly after she was born—through letters, videos, postcards, and journals. ...","Abby's Journey by Steena Holmes: Twenty-year-old Abigail Turner has only known her mother, Claire—who died shortly after she was born—through letters, videos, postcards, and journals. ..."
34,34,Canadian,A Beautiful Truth,Colin McAdam,"&nbsp; A novel about the simple truths that transcend species, about the meaning of family, the lure of belonging, and the capacity for survival   Walt and Judy are ...","A Beautiful Truth by Colin McAdam: &nbsp; A novel about the simple truths that transcend species, about the meaning of family, the lure of belonging, and the capacity for survival   Walt and Judy are ..."
35,35,Canadian,A Beauty,Connie Gault,A spellbinding and highly original novel that gives a new name to the Prairie Novel by one of the most exciting new literary voices in Canada. For readers of ...,A Beauty by Connie Gault: A spellbinding and highly original novel that gives a new name to the Prairie Novel by one of the most exciting new literary voices in Canada. For readers of ...
36,36,Canadian,A Beckoning War,Matthew Murphy,"Winner: 2016 Foreword Reviews INDIES, Silver, War and Military (Adult Fiction) Captain Jim McFarlane, a Canadian infantry officer, is coming apart at the seams. ...","A Beckoning War by Matthew Murphy: Winner: 2016 Foreword Reviews INDIES, Silver, War and Military (Adult Fiction) Captain Jim McFarlane, a Canadian infantry officer, is coming apart at the seams. ..."
37,37,Canadian,A Better Man,Louise Penny,"“‘A Better Man,' with its mix of meteorological suspense, psychological insight and criminal pursuit, is arguably the best book yet in an outstanding, ...","A Better Man by Louise Penny: “‘A Better Man,' with its mix of meteorological suspense, psychological insight and criminal pursuit, is arguably the best book yet in an outstanding, ..."
38,38,Canadian,A Bird in the House,Margaret Laurence,"One of Canada’s most accomplished authors combines the best qualities of both the short story and the novel to create a lyrical evocation of the beauty, ...","A Bird in the House by Margaret Laurence: One of Canada’s most accomplished authors combines the best qualities of both the short story and the novel to create a lyrical evocation of the beauty, ..."
39,39,Canadian,A Bird on Every Tree,Carol Bruneau,"Carol Bruneau, author of six acclaimed works of fiction (most recently, These Good Hands), brings her finely honed voice to 12 new stories about shifting ...","A Bird on Every Tree by Carol Bruneau: Carol Bruneau, author of six acclaimed works of fiction (most recently, These Good Hands), brings her finely honed voice to 12 new stories about shifting ..."
40,40,Canadian,A Bird's Eye,Cary Fagan,"Shortlisted for the Rogers Writers' Trust Fiction Prize, and selected as an Amazon.ca Best Book.With all the wonder of a small-scale The Amazing Adventures of ...","A Bird's Eye by Cary Fagan: Shortlisted for the Rogers Writers' Trust Fiction Prize, and selected as an Amazon.ca Best Book.With all the wonder of a small-scale The Amazing Adventures of ..."
41,41,Canadian,Able Muse Anthology,Alexander Pepple,"The Able Muse Anthology — from the new Able Muse Press — celebrates Able Muse’s journey through its first decade and beyond, by showcasing the best of ...","Able Muse Anthology by Alexander Pepple: The Able Muse Anthology — from the new Able Muse Press — celebrates Able Muse’s journey through its first decade and beyond, by showcasing the best of ..."
42,42,Canadian,"Able Muse - a review of poetry, prose and art",Alexander Pepple,"This is the seminannual Able Muse Review (Print Edition) - Summer, 2011 issue. This issue continues the tradition of masterfully crafted poetry, fiction, ...","Able Muse - a review of poetry, prose and art by Alexander Pepple: This is the seminannual Able Muse Review (Print Edition) - Summer, 2011 issue. This issue continues the tradition of masterfully crafted poetry, fiction, ..."
43,43,Canadian,A Blessed Snarl,Samuel Martin,"Patrick Wiseman moved his wife and son back to Newfoundland to start a new Pentecostal church, but when his wife Anne leaves him for a man she meets on ...","A Blessed Snarl by Samuel Martin: Patrick Wiseman moved his wife and son back to Newfoundland to start a new Pentecostal church, but when his wife Anne leaves him for a man she meets on ..."
44,44,Canadian,A Blue Spruce Christmas,Brian Fawcett,"Set in 1957, A Blue Spruce Christmas reminds us what it was like to grow up in small town Canada during the Cold War. Set against the backdrop of the ...","A Blue Spruce Christmas by Brian Fawcett: Set in 1957, A Blue Spruce Christmas reminds us what it was like to grow up in small town Canada during the Cold War. Set against the backdrop of the ..."
45,45,Canadian,Ablutions,Patrick deWitt,"From the author of the award-winning The Sisters Brothers comes a dark, boozy, and hilarious tale from the LA underworld.A nameless barman tends a decaying bar ...","Ablutions by Patrick deWitt: From the author of the award-winning The Sisters Brothers comes a dark, boozy, and hilarious tale from the LA underworld.A nameless barman tends a decaying bar ..."
46,46,Canadian,A Book of Great Worth,Dave Margoshes,"Set largely among the Jewish community of inter-war New York City, this is a beautifully-told collection of scenes from Morgenstern's life. The tricky ground ...","A Book of Great Worth by Dave Margoshes: Set largely among the Jewish community of inter-war New York City, this is a beautifully-told collection of scenes from Morgenstern's life. The tricky ground ..."
47,47,Canadian,A Borrowing of Bones,Paula Munier,"The first in a gripping new series by Paula Munier,A Borrowing of Bones is full of complex twists, introducing a wonderful new voice for mystery readers and ...","A Borrowing of Bones by Paula Munier: The first in a gripping new series by Paula Munier,A Borrowing of Bones is full of complex twists, introducing a wonderful new voice for mystery readers and ..."
48,48,Canadian,A Bounty of Evil,Markus Matthews,"Air elemental Zack Stevens is on a roll. His bounty-hunting business is thriving, he’s survived a battle with a master vampire, and he’s taken on four new ...","A Bounty of Evil by Markus Matthews: Air elemental Zack Stevens is on a roll. His bounty-hunting business is thriving, he’s survived a battle with a master vampire, and he’s taken on four new ..."
49,49,Canadian,A Bounty with Strings,Markus Matthews,"It’s been six years since the Hamilton Hurricane patrolled the skies above Hamilton, Ontario. The thirty-three-year-old once used his elemental powers of Air ...","A Bounty with Strings by Markus Matthews: It’s been six years since the Hamilton Hurricane patrolled the skies above Hamilton, Ontario. The thirty-three-year-old once used his elemental powers of Air ..."
50,50,Canadian,About Love,Anton Chekhov,"Written in France toward the end of his career, these stories are Chekhov's only attempt at the linked collection. The first is a grotesque Gogolian comedy; ...","About Love by Anton Chekhov: Written in France toward the end of his career, these stories are Chekhov's only attempt at the linked collection. The first is a grotesque Gogolian comedy; ..."
51,51,Canadian,Above All Things,Tanis Rideout,"The Paris Wife meets Into Thin Air in this breathtaking debut novel of obsession and divided loyalties, which brilliantly weaves together the harrowing story ...","Above All Things by Tanis Rideout: The Paris Wife meets Into Thin Air in this breathtaking debut novel of obsession and divided loyalties, which brilliantly weaves together the harrowing story ..."
52,52,Canadian,Above the Reich,David Chaundy-Smart,"In the 1930s, a promising young alpinist from Munich struggles to stay above the fray and the base instincts of the valley that threaten to destroy all that he ...","Above the Reich by David Chaundy-Smart: In the 1930s, a promising young alpinist from Munich struggles to stay above the fray and the base instincts of the valley that threaten to destroy all that he ..."
53,53,Canadian,A Boy of Good Breeding,Miriam Toews,From the acclaimed Giller Prize Finalist and Governor General’s Award Winner: a delightfully funny and charming second novel about Canada’s smallest town. ...,A Boy of Good Breeding by Miriam Toews: From the acclaimed Giller Prize Finalist and Governor General’s Award Winner: a delightfully funny and charming second novel about Canada’s smallest town. ...
54,54,Canadian,A Breath of Snow and Ashes,Diana Gabaldon,"Eagerly anticipated by her legions of fans, this sixth novel in Diana Gabaldon’s bestselling Outlander saga is a masterpiece of historical fiction from one ...","A Breath of Snow and Ashes by Diana Gabaldon: Eagerly anticipated by her legions of fans, this sixth novel in Diana Gabaldon’s bestselling Outlander saga is a masterpiece of historical fiction from one ..."
55,55,Canadian,A Brewski for the Old Man,Phyllis Smallman,"In the third Sherri Travis mystery, Phyllis Smallman returns to Jacaranda, Florida and the Sunset Bar. Ray John Leenders, the brutal man who tried to rape ...","A Brewski for the Old Man by Phyllis Smallman: In the third Sherri Travis mystery, Phyllis Smallman returns to Jacaranda, Florida and the Sunset Bar. Ray John Leenders, the brutal man who tried to rape ..."
56,56,Canadian,A Bride by Christmas,Jo Beverley,"Home for Christmas by Heather GrahamIt broke Travis's heart to see Isabelle go, but he was the Yankee captain who had commandeered her home and she was a ...","A Bride by Christmas by Jo Beverley: Home for Christmas by Heather GrahamIt broke Travis's heart to see Isabelle go, but he was the Yankee captain who had commandeered her home and she was a ..."
57,57,Canadian,A Bridge of Years,Robert Charles Wilson,Tom Winter thought the secluded cottage in the Pacific Northwest would be the perfect refuge—a place to nurse the wounds of lost love and happiness. But Tom ...,A Bridge of Years by Robert Charles Wilson: Tom Winter thought the secluded cottage in the Pacific Northwest would be the perfect refuge—a place to nurse the wounds of lost love and happiness. But Tom ...
58,58,Canadian,A Brightness Long Ago,Guy Gavriel Kay,From the internationally bestselling author of Tigana and The Lions of Al-Rassan comes a masterful new novel set in a vivid world evoking early Renaissance ...,A Brightness Long Ago by Guy Gavriel Kay: From the internationally bestselling author of Tigana and The Lions of Al-Rassan comes a masterful new novel set in a vivid world evoking early Renaissance ...
59,59,Canadian,Absolution,Patrick Flanery,"Told in shifting perspectives, Absolution revolves around the mysterious Clare Wald, a controversial writer and critic of great fame, now a recluse behind the ...","Absolution by Patrick Flanery: Told in shifting perspectives, Absolution revolves around the mysterious Clare Wald, a controversial writer and critic of great fame, now a recluse behind the ..."
60,60,Canadian,"Abundance of the Infinite, The",Christopher Canniff,"Tormented by his wife's decision to abort their child, a psychologist travels to a small coastal fishing town in South America to distance himself from the ...","Abundance of the Infinite, The by Christopher Canniff: Tormented by his wife's decision to abort their child, a psychologist travels to a small coastal fishing town in South America to distance himself from the ..."
61,61,Canadian,A Cadence Creek Christmas,Donna Alward,It's Christmas in Donna Alward's Cadence Creek?&nbsp;Taylor Shepard has come to Cadence Creek to organize her brother's Christmas wedding. Organizing such a special ...,A Cadence Creek Christmas by Donna Alward: It's Christmas in Donna Alward's Cadence Creek?&nbsp;Taylor Shepard has come to Cadence Creek to organize her brother's Christmas wedding. Organizing such a special ...
62,62,Canadian,A Case of You,Rick Blechta,"&quot;She had a voice like an angel, smooth and complex as a twenty-year-old single malt, rich as thick cream. Everyone who heard Olivia sing felt as if she could ...","A Case of You by Rick Blechta: &quot;She had a voice like an angel, smooth and complex as a twenty-year-old single malt, rich as thick cream. Everyone who heard Olivia sing felt as if she could ..."
63,63,Canadian,A Cast of Falcons,Steve Burrows,"The threat from above casts a dark shadow.A man falls to his death from a cliff face in western Scotland. From a distance, another man watches. He approaches ...","A Cast of Falcons by Steve Burrows: The threat from above casts a dark shadow.A man falls to his death from a cliff face in western Scotland. From a distance, another man watches. He approaches ..."
64,64,Canadian,Accidental Commando,Ingrid Weaver,A Caribbean island…a honeymoon suite…sexy lingerie. Emily Wright has everything for the perfect honeymoon—except a husband! Although her nuptials are ...,Accidental Commando by Ingrid Weaver: A Caribbean island…a honeymoon suite…sexy lingerie. Emily Wright has everything for the perfect honeymoon—except a husband! Although her nuptials are ...
65,65,Canadian,Accidental Eyewitness,Michelle Karl,"In a killer’s sights…a lawman at her sideA Mountie Brotherhood storyAfter Ellen Biers witnesses a theft turned homicide, the killer targets her. But her ...","Accidental Eyewitness by Michelle Karl: In a killer’s sights…a lawman at her sideA Mountie Brotherhood storyAfter Ellen Biers witnesses a theft turned homicide, the killer targets her. But her ..."
66,66,Canadian,Accordéon,Kaie Kellough,"Finalist for the 2017 Amazon.ca First Novel AwardAccordéon is an experimental novel, a piercing deconstruction of Québécois culture, an ode to Montréal--a ...","Accordéon by Kaie Kellough: Finalist for the 2017 Amazon.ca First Novel AwardAccordéon is an experimental novel, a piercing deconstruction of Québécois culture, an ode to Montréal--a ..."
67,67,Canadian,Accounting for Crime,Richard King,"Robert Scroyle C.A., is the senior partner at Scroyle, Caitiff, Rudisbe and Spavin. He is married, has a girlfriend or two and is no stranger to a shady tax ...","Accounting for Crime by Richard King: Robert Scroyle C.A., is the senior partner at Scroyle, Caitiff, Rudisbe and Spavin. He is married, has a girlfriend or two and is no stranger to a shady tax ..."
68,68,Canadian,Accusation,Catherine Bush,"Selected as an Amazon.ca Best Book of 2013, a Canada Reads Top 40 Pick, and a NOW Magazine Book of the YearWhile in Copenhagen, Sara Wheeler, a Toronto ...","Accusation by Catherine Bush: Selected as an Amazon.ca Best Book of 2013, a Canada Reads Top 40 Pick, and a NOW Magazine Book of the YearWhile in Copenhagen, Sara Wheeler, a Toronto ..."
69,69,Canadian,A Chance for the Rancher,Brenda Harlen,Would you take a risk on a cowboy’s kiss?Dating a single mom? Patrick Stafford would never break that rule…Patrick Stafford trades his suit for a Stetson ...,A Chance for the Rancher by Brenda Harlen: Would you take a risk on a cowboy’s kiss?Dating a single mom? Patrick Stafford would never break that rule…Patrick Stafford trades his suit for a Stetson ...
70,70,Canadian,A Changed Heart,May Agnes Fleming,"Romance, suspense, and murder provide the backdrop for this Gothic novel set in mid-Victorian Saint John, New Brunswick, by 19th-century writer May Agnes ...","A Changed Heart by May Agnes Fleming: Romance, suspense, and murder provide the backdrop for this Gothic novel set in mid-Victorian Saint John, New Brunswick, by 19th-century writer May Agnes ..."
71,71,Canadian,A Child Changes Everything,Stella MacLean,"What do you do when you find out your whole life has been a lie? First the birth mother you believed was dead is, in fact, alive. Then you discover you have a ...","A Child Changes Everything by Stella MacLean: What do you do when you find out your whole life has been a lie? First the birth mother you believed was dead is, in fact, alive. Then you discover you have a ..."
72,72,Canadian,A Choir of Crows,Candace Robb,"When two bodies are discovered in the grounds of York Minster shortly before the enthronement of the new archbishop, Owen Archer is summoned to investigate. ...","A Choir of Crows by Candace Robb: When two bodies are discovered in the grounds of York Minster shortly before the enthronement of the new archbishop, Owen Archer is summoned to investigate. ..."
73,73,Canadian,A Christmas Seduction,Daire St. Denis,Her first real Christmas &nbsp;Her first real cowboy?&nbsp;Journalist Jolie Duval has escaped her killjoy family in order to enjoy a real down-home Christmas in Montana. ...,A Christmas Seduction by Daire St. Denis: Her first real Christmas &nbsp;Her first real cowboy?&nbsp;Journalist Jolie Duval has escaped her killjoy family in order to enjoy a real down-home Christmas in Montana. ...
74,74,Canadian,A Chronicle of Magpies,Bruce Meyer,"This collection examines the serendipity and spontaneity of history through stories about love, family, and art. Bruce Meyers offers a view that is both ...","A Chronicle of Magpies by Bruce Meyer: This collection examines the serendipity and spontaneity of history through stories about love, family, and art. Bruce Meyers offers a view that is both ..."
75,75,Canadian,A Circle on the Surface,Carol Bruneau,"It's 1943. Enman and Una Greene are newly married. Each is haunted by their respective pasts, and each harbours secrets. They have hopes of a happy life ...","A Circle on the Surface by Carol Bruneau: It's 1943. Enman and Una Greene are newly married. Each is haunted by their respective pasts, and each harbours secrets. They have hopes of a happy life ..."
76,76,Canadian,A City Girl,Margaret Harkness,"In April 1888, Friedrich Engels wrote a letter to the English novelist and journalist Margaret Harkness, expressing his appreciation for her first novel, A ...","A City Girl by Margaret Harkness: In April 1888, Friedrich Engels wrote a letter to the English novelist and journalist Margaret Harkness, expressing his appreciation for her first novel, A ..."
77,77,Canadian,A Colder Kind of Death,Gail Bowen,"When a prisoner is shot to death in the exercise yard of a Saskatchewan penitentiary, Joanne Kilbourn finds herself haunted by a part of her past she wished ...","A Colder Kind of Death by Gail Bowen: When a prisoner is shot to death in the exercise yard of a Saskatchewan penitentiary, Joanne Kilbourn finds herself haunted by a part of her past she wished ..."
78,78,Canadian,A Cold Night for Alligators,Nick Crowe,"A thrilling Knopf New Face of Fiction debut, A Cold Night for Alligators takes the reader on a breathtaking ride through the seedy, sensual Florida Everglades, ...","A Cold Night for Alligators by Nick Crowe: A thrilling Knopf New Face of Fiction debut, A Cold Night for Alligators takes the reader on a breathtaking ride through the seedy, sensual Florida Everglades, ..."
79,79,Canadian,A Cold Season In Shanghai,S.P. Hozy,"A time of turmoil, when destinies were forged… In this searing historical novel by Toronto author S.P. Hozy, set amid the turmoil of early twentieth century ...","A Cold Season In Shanghai by S.P. Hozy: A time of turmoil, when destinies were forged… In this searing historical novel by Toronto author S.P. Hozy, set amid the turmoil of early twentieth century ..."
80,80,Canadian,A Cold White Fear,R.J. Harlick,"Stranded by a blizzard at her isolated cabin, Meg Harris, an escapee from a failed marriage into the remote wilderness, finds herself in a desperate and ...","A Cold White Fear by R.J. Harlick: Stranded by a blizzard at her isolated cabin, Meg Harris, an escapee from a failed marriage into the remote wilderness, finds herself in a desperate and ..."
81,81,Canadian,A Complicated Kindness,Miriam Toews,"Sixteen-year-old Nomi Nickel longs to hang out with Lou Reed and Marianne Faithfull in New York City’s East Village. Instead she’s trapped in East Village, ...","A Complicated Kindness by Miriam Toews: Sixteen-year-old Nomi Nickel longs to hang out with Lou Reed and Marianne Faithfull in New York City’s East Village. Instead she’s trapped in East Village, ..."
82,82,Canadian,A Confederation of Valor,Tanya Huff,"In Valor's Choice, Staff Sergeant Torin Kerr and her crew get yanked from a well-deserved shore leave in order to participate in an “easy” mission. They ...","A Confederation of Valor by Tanya Huff: In Valor's Choice, Staff Sergeant Torin Kerr and her crew get yanked from a well-deserved shore leave in order to participate in an “easy” mission. They ..."
